round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9320833333333334,0.07868171557267581,0.8044301179736701,0.2838795173598369,531.1,0.0896,1,fedmd,100.0,4,2670,40,8,False,False
1,0.94875,0.19400546897574025,0.8536858275022379,0.3607510842325517,528.0,0.1792,1,fedmd,100.0,4,2670,40,8,False,False
2,0.9483928571428571,0.19144333018670148,0.85623120220924,0.39083115674514324,528.0,0.2688,1,fedmd,100.0,4,2670,40,8,False,False
3,0.9491666666666667,0.22536752572510452,0.8604417765160578,0.4072774660772094,528.9,0.3584,1,fedmd,100.0,4,2670,40,8,False,False
4,0.9478571428571428,0.25257687071893686,0.8487045050110511,0.3845779393431138,527.7,0.448,1,fedmd,100.0,4,2670,40,8,False,False
5,0.948452380952381,0.2541155836746381,0.859000479181458,0.38078646200601485,8012.2,0.5376,1,fedmd,100.0,4,2670,40,8,False,False
6,0.9473214285714285,0.2945869194599917,0.8448508227315327,0.3927135367989706,816.4,0.6272,1,fedmd,100.0,4,2670,40,8,False,False
7,0.9438690476190476,0.2710705435292716,0.794207523059879,0.34694496897359123,810.0,0.7168,1,fedmd,100.0,4,2670,40,8,False,False
8,0.9402380952380953,0.2632208145933727,0.8048157318196281,0.3576359525616517,845.7,0.8064,1,fedmd,100.0,4,2670,40,8,False,False
9,0.9356547619047619,0.2582111520318068,0.7838223088631823,0.32483933745346105,787.9,0.896,1,fedmd,100.0,4,2670,40,8,False,False
10,0.9326190476190477,0.2451786855442139,0.7948423097887112,0.3332387464572366,803.5,0.9856,1,fedmd,100.0,4,2670,40,8,False,False
11,0.9299404761904762,0.2005299084948204,0.7501803166473772,0.28971431103196665,850.0,1.0752,1,fedmd,100.0,4,2670,40,8,False,False
12,0.9266666666666666,0.21143242763717798,0.7657510712727588,0.28779033866515047,1182.9,1.1648,1,fedmd,100.0,4,2670,40,8,False,False
13,0.9272619047619047,0.19468170185446437,0.7539961609575052,0.27065766874951974,1290.9,1.2544,1,fedmd,100.0,4,2670,40,8,False,False
