round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9316666666666666,0.11959666439754936,0.8824834659543324,0.4516552521610204,571.6,,1,fedprox,0.1,4,2670,40,8,False,False
1,0.9285714285714286,0.19096230346230345,0.8356796092778345,0.33754931244559155,628.3,,1,fedprox,0.1,4,2670,40,8,False,False
2,0.9185714285714286,0.09781204726745912,0.7921186283372373,0.3011047037476474,813.1,,1,fedprox,0.1,4,2670,40,8,False,False
3,0.9219047619047619,0.1513520204902095,0.8094997751797668,0.3240463350036262,809.6,,1,fedprox,0.1,4,2670,40,8,False,False
4,0.9230952380952381,0.17359048120880763,0.8020480847221649,0.31680597392490806,699.3,,1,fedprox,0.1,4,2670,40,8,False,False
5,0.8947619047619048,0.17840118572653843,0.7363417390450283,0.2689072441351217,592.3,,1,fedprox,0.1,4,2670,40,8,False,False
6,0.9128571428571428,0.1701436759902322,0.7659138740155028,0.3105926169396715,587.7,,1,fedprox,0.1,4,2670,40,8,False,False
7,0.9119047619047619,0.1472802619248792,0.7320761772453882,0.2764330956836344,587.7,,1,fedprox,0.1,4,2670,40,8,False,False
8,0.9080952380952381,0.16710778739569687,0.7235419054334495,0.28085224124119745,585.6,,1,fedprox,0.1,4,2670,40,8,False,False
9,0.9104761904761904,0.24280087438200687,0.7290827537697215,0.2759827913717439,586.5,,1,fedprox,0.1,4,2670,40,8,False,False
10,0.914047619047619,0.15657780000634808,0.7215494987756002,0.2562060632863916,585.0,,1,fedprox,0.1,4,2670,40,8,False,False
11,0.9123809523809524,0.21762750607540893,0.727658795097484,0.2841569409369029,586.5,,1,fedprox,0.1,4,2670,40,8,False,False
12,0.9095238095238095,0.2090184651246103,0.7384979637666297,0.3074337115357252,585.6,,1,fedprox,0.1,4,2670,40,8,False,False
13,0.909047619047619,0.22208521929436392,0.7511798725017348,0.2700605887627879,586.3,,1,fedprox,0.1,4,2670,40,8,False,False
14,0.9064285714285715,0.15097729546373517,0.7511419789702125,0.2699979237418362,589.3,,1,fedprox,0.1,4,2670,40,8,False,False
15,0.9164285714285715,0.17400464367667345,0.7660251666748652,0.30460494382729614,593.1,,1,fedprox,0.1,4,2670,40,8,False,False
16,0.9145238095238095,0.1609254797164719,0.7777165989770888,0.26731451076902607,594.6,,1,fedprox,0.1,4,2670,40,8,False,False
17,0.9138095238095238,0.18066693298294162,0.7564437350238052,0.2920186337815465,597.4,,1,fedprox,0.1,4,2670,40,8,False,False
18,0.9085714285714286,0.20493172712412394,0.7305933464473899,0.27253156668138556,597.4,,1,fedprox,0.1,4,2670,40,8,False,False
19,0.914047619047619,0.23622772135506123,0.7701614917079684,0.28993269104012576,600.7,,1,fedprox,0.1,4,2670,40,8,False,False
20,0.9164285714285715,0.20567227462943802,0.7809014015645661,0.2923674768314743,600.5,,1,fedprox,0.1,4,2670,40,8,False,False
21,0.9145238095238095,0.1917731527654811,0.7710022135516172,0.28801882245636806,599.5,,1,fedprox,0.1,4,2670,40,8,False,False
22,0.9054761904761904,0.20108955515349894,0.7600229065724324,0.2702291068840036,600.8,,1,fedprox,0.1,4,2670,40,8,False,False
23,0.9180952380952381,0.1958206007235629,0.7669186188373301,0.26735696584747853,601.3,,1,fedprox,0.1,4,2670,40,8,False,False
24,0.9154761904761904,0.1825565916840582,0.7722172049747074,0.2643731715226992,603.7,,1,fedprox,0.1,4,2670,40,8,False,False
25,0.905952380952381,0.18722280421343374,0.7340024891319235,0.2633493974359268,600.7,,1,fedprox,0.1,4,2670,40,8,False,False
26,0.9088095238095238,0.2028109359603209,0.7417352819734024,0.25721070918191297,602.2,,1,fedprox,0.1,4,2670,40,8,False,False
27,0.9035714285714286,0.19942446881905307,0.7369921859162558,0.24541396616849492,598.9,,1,fedprox,0.1,4,2670,40,8,False,False
28,0.9111904761904762,0.18062529800577076,0.7724396600688986,0.25952698846202005,602.3,,1,fedprox,0.1,4,2670,40,8,False,False
29,0.9171428571428571,0.17694633682295657,0.7724470228381956,0.28008297657640246,604.5,,1,fedprox,0.1,4,2670,40,8,False,False
30,0.9097619047619048,0.1618630402734683,0.7384699861488024,0.26798393013520083,599.2,,1,fedprox,0.1,4,2670,40,8,False,False
31,0.9066666666666666,0.224450333131704,0.7567580931187365,0.27907720421618754,597.8,,1,fedprox,0.1,4,2670,40,8,False,False
32,0.9135714285714286,0.21048771211814687,0.767092205402201,0.2551270650568514,595.4,,1,fedprox,0.1,4,2670,40,8,False,False
33,0.9133333333333333,0.19712115669169947,0.7645627826376542,0.29393344238049707,594.2,,1,fedprox,0.1,4,2670,40,8,False,False
34,0.9133333333333333,0.15849878540358503,0.7661794096402906,0.27854800939917135,595.9,,1,fedprox,0.1,4,2670,40,8,False,False
35,0.909047619047619,0.17321138113298462,0.7368133302446763,0.2717014125260516,591.6,,1,fedprox,0.1,4,2670,40,8,False,False
36,0.910952380952381,0.14912914572088415,0.773059220209561,0.2854747700388758,589.4,,1,fedprox,0.1,4,2670,40,8,False,False
37,0.9145238095238095,0.18844014150496216,0.7891269534802698,0.2809793872437186,593.4,,1,fedprox,0.1,4,2670,40,8,False,False
38,0.9102380952380953,0.19147161127372891,0.7984057748741681,0.2587048470393876,586.5,,1,fedprox,0.1,4,2670,40,8,False,False
39,0.9066666666666666,0.16740443578678874,0.790779141436748,0.2618307524302984,588.6,,1,fedprox,0.1,4,2670,40,8,False,False
