round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9123946229209388,0.05205254515599343,0.7358515661496671,0.2572184038571186,229.6,4280.592128,3,min,uni,100.0,4,2670,40,8
1,0.9371155160628845,0.16752448497129352,0.8208203675296079,0.367961046895171,229.6,8561.184256,3,min,uni,100.0,4,2670,40,8
2,0.9531784005468216,0.29366948105746266,0.8395084916988831,0.4229282750522069,230.6,12841.776384,3,min,uni,100.0,4,2670,40,8
3,0.958418774208248,0.3577847702485029,0.8588384783813013,0.47581852921173046,230.1,17122.368512,3,min,uni,100.0,4,2670,40,8
4,0.9635452267031215,0.39952051117635695,0.8686625301431036,0.48711124409796636,229.4,21402.96064,3,min,uni,100.0,4,2670,40,8
5,0.9671907040328093,0.42832095876624837,0.892435085425101,0.5030532991291007,231.6,25683.552768,3,min,uni,100.0,4,2670,40,8
6,0.9679881521986785,0.43936227785519844,0.905148051351168,0.5175390682119709,229.5,29964.144896,3,min,uni,100.0,4,2670,40,8
7,0.9690134426976532,0.434836545242471,0.908926952623849,0.5255478736682073,234.7,34244.737024,3,min,uni,100.0,4,2670,40,8
8,0.9698108908635225,0.48316424334854174,0.9283875687849429,0.5410459920102311,235.2,38525.329152000006,3,min,uni,100.0,4,2670,40,8
9,0.968215994531784,0.49134984273026555,0.9357359188231511,0.5467852605765737,236.7,42805.92128,3,min,uni,100.0,4,2670,40,8
10,0.967304625199362,0.4978887558732133,0.9279100727618212,0.5517612077830027,235.4,47086.513408,3,min,uni,100.0,4,2670,40,8
11,0.9665071770334929,0.518851101661164,0.9182763342078616,0.5808892712646493,235.7,51367.105536,3,min,uni,100.0,4,2670,40,8
12,0.9675324675324676,0.5167831792091093,0.9406611776113607,0.5774061617191842,241.4,55647.69766400001,3,min,uni,100.0,4,2670,40,8
13,0.9662793347003873,0.5360413533358864,0.9478663691991398,0.5855089887167864,245.4,59928.289792,3,min,uni,100.0,4,2670,40,8
14,0.9674185463659147,0.5489614287959009,0.9464582787305714,0.5925449359640563,242.2,64208.88192,3,min,uni,100.0,4,2670,40,8
15,0.9662793347003873,0.5494755729162452,0.9493739644509935,0.5982780666704863,239.1,68489.474048,3,min,uni,100.0,4,2670,40,8
16,0.9694691273638643,0.5689559262320372,0.9477772198758249,0.631602225244851,237.6,72770.06617600001,3,min,uni,100.0,4,2670,40,8
17,0.9676463886990203,0.6077762411127524,0.9425548275978738,0.6189805959780273,238.1,77050.65830400001,3,min,uni,100.0,4,2670,40,8
18,0.9685577580314423,0.5317101369211235,0.9471978435167132,0.5967316226138413,240.3,81331.250432,3,min,uni,100.0,4,2670,40,8
19,0.9676463886990203,0.5518821716151193,0.9480924403604128,0.59915596027822,236.4,85611.84256,3,min,uni,100.0,4,2670,40,8
20,0.9670767828662565,0.5458139279332522,0.9479497047862706,0.5986582563267638,235.7,89892.43468800001,3,min,uni,100.0,4,2670,40,8
21,0.9657097288676236,0.575160133955717,0.9405897965074027,0.6041224787851457,237.3,94173.026816,3,min,uni,100.0,4,2670,40,8
22,0.9661654135338346,0.5269500082800873,0.9351257703782739,0.5863599090500825,238.9,98453.618944,3,min,uni,100.0,4,2670,40,8
23,0.9674185463659147,0.5671581509006873,0.9269496424797724,0.6030895877177171,239.1,102734.211072,3,min,uni,100.0,4,2670,40,8
24,0.96639325586694,0.5581107297677947,0.9392793271143279,0.5968904930884459,242.8,107014.80320000001,3,min,uni,100.0,4,2670,40,8
25,0.9670767828662565,0.5847453438086739,0.9393578131920399,0.6036262813039992,243.8,111295.39532800001,3,min,uni,100.0,4,2670,40,8
26,0.9667350193665983,0.5568645516364543,0.9303521984291544,0.5822455167598193,240.5,115575.987456,3,min,uni,100.0,4,2670,40,8
27,0.9665071770334929,0.581813389995938,0.9378931417619913,0.6189564492445582,240.0,119856.579584,3,min,uni,100.0,4,2670,40,8
28,0.9684438368648896,0.5730055983217696,0.9268916360275936,0.6111490320044197,238.5,124137.17171200001,3,min,uni,100.0,4,2670,40,8
29,0.9675324675324676,0.5887933787809919,0.9250727289694971,0.6354765915427211,240.7,128417.76384,3,min,uni,100.0,4,2670,40,8
30,0.9708361813624972,0.5710401324340344,0.907915443815631,0.592844809040367,238.4,132698.35596800002,3,min,uni,100.0,4,2670,40,8
31,0.9715197083618137,0.5887392047263628,0.9086735843629921,0.6144973151905017,234.1,136978.948096,3,min,uni,100.0,4,2670,40,8
32,0.969127363864206,0.5809072395529926,0.9271899303809483,0.6098309814146364,238.5,141259.540224,3,min,uni,100.0,4,2670,40,8
33,0.9676463886990203,0.5945258360492115,0.934738425542559,0.6096619879946426,239.2,145540.13235200002,3,min,uni,100.0,4,2670,40,8
34,0.9678742310321258,0.5500366144973483,0.9262517697221615,0.5982259612642163,244.1,149820.72448,3,min,uni,100.0,4,2670,40,8
35,0.969127363864206,0.5866485051547644,0.9228578388879451,0.5954768690453395,240.7,154101.31660800002,3,min,uni,100.0,4,2670,40,8
36,0.9709501025290499,0.593145619580849,0.930863280216977,0.6245844807100734,240.2,158381.908736,3,min,uni,100.0,4,2670,40,8
37,0.9690134426976532,0.5810476498256627,0.9301013646774993,0.6211214477943009,241.2,162662.500864,3,min,uni,100.0,4,2670,40,8
38,0.9687856003645477,0.5384259785417098,0.9112720033919633,0.5761464590856039,241.3,166943.09299200002,3,min,uni,100.0,4,2670,40,8
39,0.9696969696969697,0.5459232162855877,0.9292784042933759,0.6030828084283658,243.5,171223.68512,3,min,uni,100.0,4,2670,40,8
