round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch,distill_temp
0,0.9025,0.015569483285459783,0.6401207166014742,0.15074049677214557,485.0,0.0896,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
1,0.9028571428571428,0.02994886965335392,0.6346834619444278,0.1669398777874644,487.4,0.1792,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
2,0.9038690476190476,0.04559310669927808,0.6539342721236496,0.16916134895869964,488.7,0.2688,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
3,0.9063690476190476,0.05199904803261323,0.6772840605065575,0.17807002946618544,488.5,0.3584,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
4,0.9054166666666668,0.0447964661080759,0.6623464332344035,0.19282621649800502,490.7,0.448,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
5,0.9057738095238096,0.04181129430221327,0.7010516780681275,0.1963331801196228,489.7,0.5376,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
6,0.905,0.04382164617208044,0.6720268058266927,0.17913282814406012,490.0,0.6272,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
7,0.9077380952380953,0.0481545734315509,0.6688086553479669,0.18556302264368116,489.6,0.7168,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
8,0.9064880952380953,0.04660654281281694,0.669917587798089,0.19860784127956743,489.3,0.8064,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
9,0.9060119047619049,0.04744217865414134,0.6799747464995837,0.19951048919289102,489.7,0.896,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
10,0.9058333333333334,0.04417207478582111,0.6702795580360379,0.1891701079806174,489.9,0.9856,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
11,0.9069047619047619,0.05185641861437135,0.6348055261049357,0.18861156034807003,489.5,1.0752,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
12,0.9075595238095238,0.050703239445450826,0.6592371148172651,0.1875336128572686,489.5,1.1648,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
13,0.9064880952380953,0.05059908357107044,0.6792348360507688,0.18377185519761396,490.5,1.2544,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
14,0.9066666666666667,0.04752695402098059,0.6922121948822129,0.17910500419748954,489.3,1.344,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
15,0.907202380952381,0.05339161256949671,0.6802644068127823,0.19722907229062772,490.1,1.4336,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
16,0.906607142857143,0.05070625472411186,0.680730053902027,0.17723406382810794,489.5,1.5232,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
17,0.9065476190476192,0.05634545143473714,0.672859240016451,0.18832311577894706,490.4,1.6128,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
18,0.9063690476190476,0.054426072823337314,0.6677361470640711,0.1799933546252787,489.8,1.7024,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
19,0.9057738095238095,0.05594366940559285,0.6732087172707791,0.1785885288434146,489.7,1.792,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
20,0.9072619047619048,0.05416433059195161,0.6846878037700417,0.1935862758383569,489.3,1.8816,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
21,0.9057738095238095,0.05417922597538913,0.6659935944462951,0.19806036538367733,491.2,1.9712,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
22,0.9059523809523811,0.052944520394233294,0.6756270013731562,0.19634823188810596,490.6,2.0608,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
23,0.9061904761904762,0.05775642645394191,0.6624220998268918,0.17862942309953317,490.9,2.1504,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
24,0.9056547619047619,0.05886084850038124,0.6741468100098907,0.19276793465483277,626.9,2.24,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
25,0.9055357142857143,0.05888742831828754,0.6672155403745565,0.18360858680321046,794.1,2.3296,4,fedmd_loot,1:3,0.1,4,2670,40,8,2.0
