round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9416666666666667,0.10794295859923583,0.8375237208769393,0.34700818120712773,542.1,,1,fedprox,100.0,4,2670,40,8,False,False
1,0.9619047619047619,0.2962768155792734,0.9086583767296934,0.49721916844048675,546.5,,1,fedprox,100.0,4,2670,40,8,False,False
2,0.9757142857142858,0.4237989131759683,0.9459777479619034,0.6003522658006448,546.6,,1,fedprox,100.0,4,2670,40,8,False,False
3,0.9797619047619047,0.43747473826110356,0.9626308120876851,0.6833663292818369,548.5,,1,fedprox,100.0,4,2670,40,8,False,False
4,0.9811904761904762,0.5356105111490507,0.9645793724133763,0.7087357919952179,551.0,,1,fedprox,100.0,4,2670,40,8,False,False
5,0.9833333333333333,0.5860011745150003,0.9662329861739908,0.7126514126634538,548.6,,1,fedprox,100.0,4,2670,40,8,False,False
6,0.9845238095238096,0.5984588137855615,0.9711714746002318,0.744219097025587,549.1,,1,fedprox,100.0,4,2670,40,8,False,False
7,0.9833333333333333,0.6070245119432176,0.9639836888996068,0.7400465216719126,548.7,,1,fedprox,100.0,4,2670,40,8,False,False
8,0.9840476190476191,0.6621316921256005,0.9642291398678629,0.7383388062245378,548.1,,1,fedprox,100.0,4,2670,40,8,False,False
9,0.9847619047619047,0.6463850658387411,0.9623309007281822,0.7135109622545153,549.2,,1,fedprox,100.0,4,2670,40,8,False,False
10,0.9826190476190476,0.6206383752397978,0.9601029185218021,0.7398773482448757,549.2,,1,fedprox,100.0,4,2670,40,8,False,False
11,0.9842857142857143,0.6454831431473492,0.9534214137336869,0.7188229870212807,549.1,,1,fedprox,100.0,4,2670,40,8,False,False
12,0.9830952380952381,0.6615720122719406,0.9584157466286528,0.7409437868761172,549.4,,1,fedprox,100.0,4,2670,40,8,False,False
13,0.9842857142857143,0.6411248689907119,0.9564378425537361,0.7020918840187258,548.6,,1,fedprox,100.0,4,2670,40,8,False,False
14,0.9845238095238096,0.6378091579622192,0.9517483454068305,0.6797022579249192,549.8,,1,fedprox,100.0,4,2670,40,8,False,False
15,0.9823809523809524,0.6358722825003024,0.9555969233698106,0.6748012948888934,550.8,,1,fedprox,100.0,4,2670,40,8,False,False
16,0.9833333333333333,0.6422265908908068,0.949735395342362,0.69111561042444,548.3,,1,fedprox,100.0,4,2670,40,8,False,False
17,0.9847619047619047,0.6389583613071534,0.9687804874384789,0.7076981680568247,549.0,,1,fedprox,100.0,4,2670,40,8,False,False
18,0.9845238095238096,0.6481459178435153,0.9547493701462271,0.7494059638598661,550.7,,1,fedprox,100.0,4,2670,40,8,False,False
19,0.9835714285714285,0.6677211668098367,0.9589132418705196,0.7505371550900964,548.9,,1,fedprox,100.0,4,2670,40,8,False,False
20,0.9840476190476191,0.6514857097336552,0.9613711510134296,0.6658204856785168,549.1,,1,fedprox,100.0,4,2670,40,8,False,False
21,0.9847619047619047,0.6465669278877905,0.9645146479204125,0.6829621962707078,549.7,,1,fedprox,100.0,4,2670,40,8,False,False
22,0.985,0.5980867726225976,0.968849038357037,0.6973486522505151,549.6,,1,fedprox,100.0,4,2670,40,8,False,False
23,0.9847619047619047,0.6423754338647957,0.9704937403655706,0.6985644082317796,549.2,,1,fedprox,100.0,4,2670,40,8,False,False
24,0.9864285714285714,0.6562632343041696,0.968958802877624,0.7185129419880576,548.8,,1,fedprox,100.0,4,2670,40,8,False,False
25,0.985,0.6337419673238844,0.9574051393822819,0.720257848740639,550.6,,1,fedprox,100.0,4,2670,40,8,False,False
26,0.985,0.641110350788942,0.9593364371084842,0.7343752749069582,548.7,,1,fedprox,100.0,4,2670,40,8,False,False
27,0.985,0.6317494754565244,0.972555072826669,0.6963360852090043,548.9,,1,fedprox,100.0,4,2670,40,8,False,False
28,0.9833333333333333,0.6387527292683794,0.9730340476679865,0.7312921412674545,550.0,,1,fedprox,100.0,4,2670,40,8,False,False
29,0.9838095238095238,0.6357552560832197,0.9645707677775628,0.6936312430014364,548.8,,1,fedprox,100.0,4,2670,40,8,False,False
30,0.9842857142857143,0.6374027448852816,0.9737887994575438,0.7108954067841522,550.5,,1,fedprox,100.0,4,2670,40,8,False,False
31,0.9828571428571429,0.6296441902917914,0.9635182800858832,0.6933983673191622,550.8,,1,fedprox,100.0,4,2670,40,8,False,False
32,0.9816666666666667,0.5910838253394465,0.9698198980326378,0.7265388330018313,552.2,,1,fedprox,100.0,4,2670,40,8,False,False
33,0.9826190476190476,0.620758546547583,0.9525534325611857,0.6929178864584823,550.7,,1,fedprox,100.0,4,2670,40,8,False,False
34,0.9845238095238096,0.6492627021311413,0.9647939578919409,0.7394749424530632,550.6,,1,fedprox,100.0,4,2670,40,8,False,False
35,0.981904761904762,0.6128281178281177,0.9622126956939995,0.7050475097492847,549.6,,1,fedprox,100.0,4,2670,40,8,False,False
36,0.9830952380952381,0.6185342813057171,0.9657028894060772,0.7149921974235359,549.6,,1,fedprox,100.0,4,2670,40,8,False,False
37,0.9826190476190476,0.5880687043767556,0.9644596549995593,0.6720640538005819,550.5,,1,fedprox,100.0,4,2670,40,8,False,False
38,0.9821428571428571,0.5907199172561933,0.9725237161990561,0.6933575229764506,550.6,,1,fedprox,100.0,4,2670,40,8,False,False
39,0.9823809523809524,0.6048754285048477,0.9626267248169026,0.6923555626363996,550.0,,1,fedprox,100.0,4,2670,40,8,False,False
