round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9602380952380952,0.38875603002487097,0.8930316929965307,0.5706249230421899,578.5,1070.148032,1,fedavg,100.0,1,2670,40,8,False,False
1,0.9735714285714285,0.48930360786610366,0.9336854784024988,0.6391698677958856,439.0,2140.295852,1,fedavg,100.0,1,2670,40,8,False,False
2,0.9771428571428571,0.5818898505565518,0.9387016407449584,0.617220369725826,438.7,3210.443672,1,fedavg,100.0,1,2670,40,8,False,False
3,0.9759523809523809,0.5494593586887027,0.951442070220609,0.6393906533325163,443.8,4280.591492,1,fedavg,100.0,1,2670,40,8,False,False
4,0.9040476190476191,0.09026265214606023,0.6984407552673807,0.18004797049011545,443.3,5350.739312,1,fedavg,100.0,1,2670,40,8,False,False
5,0.9773809523809524,0.5287331795697474,0.924456984457109,0.579634683719816,438.7,6420.887132,1,fedavg,100.0,1,2670,40,8,False,False
6,0.9730952380952381,0.4980939555636777,0.8550737464868492,0.552607986735333,436.1,7491.034952,1,fedavg,100.0,1,2670,40,8,False,False
7,0.979047619047619,0.5682571518207439,0.9161561256482796,0.6030928270866334,436.5,8561.182772,1,fedavg,100.0,1,2670,40,8,False,False
8,0.9728571428571429,0.5481072708020396,0.8890353000379373,0.5651879459619333,437.4,9631.330592,1,fedavg,100.0,1,2670,40,8,False,False
9,0.9123809523809524,0.15587609002411673,0.6850571634186673,0.22004003528513744,439.9,10701.478412,1,fedavg,100.0,1,2670,40,8,False,False
10,0.9269047619047619,0.2516821647265255,0.7225839868719144,0.2899576380849133,429.4,11771.626232,1,fedavg,100.0,1,2670,40,8,False,False
11,0.9126190476190477,0.18501506967215833,0.6887355790177588,0.24969548468257985,423.2,12841.774052,1,fedavg,100.0,1,2670,40,8,False,False
12,0.9180952380952381,0.17603444242434477,0.7245235058440718,0.2737344177429971,419.9,13911.921872,1,fedavg,100.0,1,2670,40,8,False,False
13,0.9083333333333333,0.19295425051255746,0.6769621684881991,0.2216217607359086,430.4,14982.069692,1,fedavg,100.0,1,2670,40,8,False,False
14,0.909047619047619,0.1794363242522788,0.6829933583477429,0.22767323209616594,420.8,16052.217512,1,fedavg,100.0,1,2670,40,8,False,False
15,0.9069047619047619,0.18165026462898806,0.6553817278169344,0.22440780986210382,419.8,17122.365332,1,fedavg,100.0,1,2670,40,8,False,False
16,0.9102380952380953,0.18306417852912432,0.698641466427451,0.24646580004054924,419.8,18192.513152,1,fedavg,100.0,1,2670,40,8,False,False
17,0.9078571428571428,0.1663017254655293,0.7071761969777048,0.250368201528388,419.2,19262.660972,1,fedavg,100.0,1,2670,40,8,False,False
18,0.9104761904761904,0.16242762655301354,0.6791229116386835,0.221872285931445,419.4,20332.808792,1,fedavg,100.0,1,2670,40,8,False,False
19,0.9073809523809524,0.17719705550368722,0.7234265640868535,0.22820555758434719,419.3,21402.956612,1,fedavg,100.0,1,2670,40,8,False,False
20,0.9097619047619048,0.17155968562809742,0.7505297045198277,0.22985692248971418,420.6,22473.104432,1,fedavg,100.0,1,2670,40,8,False,False
21,0.9088095238095238,0.2102671703382296,0.7209246749669164,0.24749547980524653,419.5,23543.252252,1,fedavg,100.0,1,2670,40,8,False,False
22,0.9040476190476191,0.14524840239125952,0.6782837758109236,0.20848612337096298,418.7,24613.400072,1,fedavg,100.0,1,2670,40,8,False,False
23,0.9,0.21721584627479926,0.6976235206830926,0.2514315900882501,418.9,25683.547892,1,fedavg,100.0,1,2670,40,8,False,False
24,0.9002380952380953,0.21355093108649756,0.7009343863981438,0.224375267529451,419.3,26753.695712,1,fedavg,100.0,1,2670,40,8,False,False
25,0.9104761904761904,0.18177514774141204,0.7432006374087028,0.22737313715592164,419.5,27823.843532,1,fedavg,100.0,1,2670,40,8,False,False
