round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9121667805878332,0.051784250718773996,0.690551404088641,0.189067809821894,144.4,4280.592128,3,uniml,uni,100.0,4,2670,40,8
1,0.9149008885850991,0.0794827673942174,0.7105629426149193,0.2237711793486692,143.4,8561.184256,3,uniml,uni,100.0,4,2670,40,8
2,0.9161540214171793,0.08641793704451507,0.7216057927198885,0.23338263981918386,143.4,12841.776384,3,uniml,uni,100.0,4,2670,40,8
3,0.916267942583732,0.0980494937674883,0.7133735047871351,0.23187623235163965,143.4,17122.368512,3,uniml,uni,100.0,4,2670,40,8
4,0.9172932330827067,0.12168309538307429,0.7227033962201717,0.22621530617612315,143.4,21402.96064,3,uniml,uni,100.0,4,2670,40,8
5,0.9149008885850991,0.13372570624920185,0.7166655120978793,0.2303729399647519,143.3,25683.552768,3,uniml,uni,100.0,4,2670,40,8
6,0.9146730462519936,0.15224650625913969,0.7024323223604576,0.22054883904580594,143.9,29964.144896,3,uniml,uni,100.0,4,2670,40,8
7,0.9156983367509683,0.14900488887047247,0.7203540711770255,0.2230078733149298,143.3,34244.737024,3,uniml,uni,100.0,4,2670,40,8
8,0.9163818637502849,0.15043069554675972,0.7164510164546671,0.22866207753624582,143.4,38525.329152000006,3,uniml,uni,100.0,4,2670,40,8
9,0.9134199134199135,0.17210851947761088,0.7284320076456368,0.22828986769480367,143.5,42805.92128,3,uniml,uni,100.0,4,2670,40,8
10,0.9130781499202552,0.15908430409608684,0.7193881101014432,0.21127197144538895,143.4,47086.513408,3,uniml,uni,100.0,4,2670,40,8
11,0.9122807017543859,0.1933203211148001,0.7222142519906659,0.2329552298941538,143.6,51367.105536,3,uniml,uni,100.0,4,2670,40,8
12,0.9156983367509683,0.17359153744435302,0.7163940123225403,0.22522869775641446,143.4,55647.69766400001,3,uniml,uni,100.0,4,2670,40,8
13,0.9086352244246981,0.18531423289286758,0.7237343103657755,0.22091737176121942,143.5,59928.289792,3,uniml,uni,100.0,4,2670,40,8
14,0.9155844155844156,0.18779158744727814,0.7287708185835885,0.24152002673795003,143.3,64208.88192,3,uniml,uni,100.0,4,2670,40,8
15,0.9112554112554112,0.17597576770338566,0.720554026220148,0.2247828176994828,143.3,68489.474048,3,uniml,uni,100.0,4,2670,40,8
16,0.9126224652540442,0.18814878972132323,0.7068101517250195,0.2327737215450976,143.3,72770.06617600001,3,uniml,uni,100.0,4,2670,40,8
17,0.9126224652540442,0.18732585081755881,0.727927606230389,0.24333051833877,143.2,77050.65830400001,3,uniml,uni,100.0,4,2670,40,8
18,0.9110275689223057,0.1735839174568404,0.7214499625847015,0.22223737250320805,143.5,81331.250432,3,uniml,uni,100.0,4,2670,40,8
19,0.9130781499202552,0.1933686980054415,0.7172217559171842,0.23496546242131425,143.3,85611.84256,3,uniml,uni,100.0,4,2670,40,8
