round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9270904534062429,0.1560108501799464,0.7463450156935799,0.30198556301969387,343.5,4280.592128,3,min,uni,0.1,4,2670,40,8
1,0.9315333789018,0.16003235302218055,0.7970618819664653,0.32399214308960306,343.3,8561.184256,3,min,uni,0.1,4,2670,40,8
2,0.9305080884028253,0.23211215259187637,0.7737852893679216,0.34203891754544385,343.0,12841.776384,3,min,uni,0.1,4,2670,40,8
3,0.9331282752335384,0.2606727379068327,0.7938357185809076,0.3724294059255997,343.8,17122.368512,3,min,uni,0.1,4,2670,40,8
4,0.9405331510594669,0.28242654150292684,0.8284941170697412,0.39373450851256636,344.8,21402.96064,3,min,uni,0.1,4,2670,40,8
5,0.9227614490772386,0.22441982736139712,0.746431931751569,0.31613230646228635,345.3,25683.552768,3,min,uni,0.1,4,2670,40,8
6,0.9076099339257234,0.062278261806139504,0.6898868291720924,0.2029969040163628,343.4,29964.144896,3,min,uni,0.1,4,2670,40,8
7,0.9077238550922762,0.07669991626590357,0.6855295984556105,0.20251788993103545,344.4,34244.737024,3,min,uni,0.1,4,2670,40,8
8,0.9098883572567783,0.09268546962802746,0.6983015428787681,0.22619994045017147,344.8,38525.329152000006,3,min,uni,0.1,4,2670,40,8
9,0.9072681704260651,0.10906466385515912,0.6807810647048532,0.21135717720226896,344.2,42805.92128,3,min,uni,0.1,4,2670,40,8
10,0.9076099339257234,0.11314281939483284,0.6842468364854154,0.22363530187051212,344.2,47086.513408,3,min,uni,0.1,4,2670,40,8
11,0.9078377762588289,0.10336117026348098,0.7170428172904656,0.23209096224261,344.1,51367.105536,3,min,uni,0.1,4,2670,40,8
12,0.9093187514240146,0.10834333063414761,0.6844720019201352,0.225653666658659,343.8,55647.69766400001,3,min,uni,0.1,4,2670,40,8
13,0.9076099339257234,0.09836084591840441,0.7005947217559948,0.2218479001927314,343.9,59928.289792,3,min,uni,0.1,4,2670,40,8
14,0.9054454317612213,0.0751525473151794,0.6828113162659158,0.20940815265723176,343.6,64208.88192,3,min,uni,0.1,4,2670,40,8
15,0.9065846434267487,0.09299121501023581,0.7064220928898989,0.21032624661658977,343.8,68489.474048,3,min,uni,0.1,4,2670,40,8
16,0.9065846434267487,0.07286213315123403,0.6820338296175692,0.20056536935960198,344.8,72770.06617600001,3,min,uni,0.1,4,2670,40,8
17,0.905103668261563,0.07349377259422238,0.6656054024118427,0.1933491364198542,9292.1,77050.65830400001,3,min,uni,0.1,4,2670,40,8
18,0.9063568010936432,0.08232781012008632,0.6727824420261042,0.1982222040229075,499.0,81331.250432,3,min,uni,0.1,4,2670,40,8
19,0.9059011164274322,0.06889680790766337,0.7058258210170415,0.20162414777047416,495.9,85611.84256,3,min,uni,0.1,4,2670,40,8
20,0.9074960127591707,0.10060684065988346,0.6858563277533748,0.20641286362137662,499.3,89892.43468800001,3,min,uni,0.1,4,2670,40,8
21,0.9063568010936432,0.07025429287464299,0.6755703136098681,0.20249177900436896,498.7,94173.026816,3,min,uni,0.1,4,2670,40,8
22,0.9059011164274322,0.06630250917013823,0.6728720300204821,0.19729114461714356,498.0,98453.618944,3,min,uni,0.1,4,2670,40,8
23,0.9057871952608795,0.08242970405541684,0.6806908240958035,0.20401498352988848,497.7,102734.211072,3,min,uni,0.1,4,2670,40,8
24,0.905103668261563,0.06877616057513027,0.6989460957647022,0.21435095716397856,498.2,107014.80320000001,3,min,uni,0.1,4,2670,40,8
25,0.905559352927774,0.06662248676243822,0.7041672589152065,0.20721022720200716,498.8,111295.39532800001,3,min,uni,0.1,4,2670,40,8
26,0.9056732740943267,0.07154681467181466,0.6815602587982557,0.21244643221642814,498.6,115575.987456,3,min,uni,0.1,4,2670,40,8
27,0.9062428799270904,0.07309651133180543,0.6818304366970692,0.1975262492780844,497.6,119856.579584,3,min,uni,0.1,4,2670,40,8
28,0.905559352927774,0.07710660982743366,0.6862374233841911,0.18392413615792247,529.9,124137.17171200001,3,min,uni,0.1,4,2670,40,8
29,0.904647983595352,0.057263694951664876,0.6522448794294439,0.18703040615715416,550.9,128417.76384,3,min,uni,0.1,4,2670,40,8
30,0.9062428799270904,0.08604021907591694,0.6800839591696234,0.19310935946759317,539.0,132698.35596800002,3,min,uni,0.1,4,2670,40,8
31,0.9054454317612213,0.0597885292455345,0.6610680564557146,0.1785639357611001,537.6,136978.948096,3,min,uni,0.1,4,2670,40,8
32,0.905559352927774,0.07353611300979722,0.6659867075999564,0.18216056493394786,535.1,141259.540224,3,min,uni,0.1,4,2670,40,8
33,0.905559352927774,0.07081983537407813,0.6845918154977768,0.1895607567786974,534.9,145540.13235200002,3,min,uni,0.1,4,2670,40,8
34,0.9060150375939849,0.07364851095571072,0.6879067990943913,0.20054123913265212,535.4,149820.72448,3,min,uni,0.1,4,2670,40,8
35,0.9065846434267487,0.10016316498919989,0.7026241406498636,0.20339699420542948,533.4,154101.31660800002,3,min,uni,0.1,4,2670,40,8
36,0.9059011164274322,0.07517013878569943,0.6770516110350024,0.18886432825737895,540.0,158381.908736,3,min,uni,0.1,4,2670,40,8
37,0.9053315105946685,0.06254524836799395,0.6781004953640578,0.1941602570127621,446.2,162662.500864,3,min,uni,0.1,4,2670,40,8
38,0.9066985645933014,0.07492649809192274,0.6825452397795833,0.20728507908370514,371.9,166943.09299200002,3,min,uni,0.1,4,2670,40,8
39,0.9061289587605377,0.07032277122733405,0.6931462013564781,0.20790188218344244,355.0,171223.68512,3,min,uni,0.1,4,2670,40,8
