round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9391071428571428,0.09898753121200904,0.8311586684421135,0.31811215427654205,449.1,4277.69216,2,heterofl,100.0,4,2670,40,8,False,False
1,0.9560714285714286,0.24398962001740604,0.8366355260435164,0.4321921420874792,447.9,8555.383472,2,heterofl,100.0,4,2670,40,8,False,False
2,0.97,0.3732790107219771,0.9090202162812038,0.5896306203091701,447.1,12833.074784,2,heterofl,100.0,4,2670,40,8,False,False
3,0.9751190476190477,0.459006994516605,0.9472885695706286,0.6549978149635676,447.5,17110.766096,2,heterofl,100.0,4,2670,40,8,False,False
4,0.9807738095238095,0.5089093104178036,0.9537602919668711,0.6946122313858003,447.6,21388.457408,2,heterofl,100.0,4,2670,40,8,False,False
5,0.9835119047619048,0.5603241109676151,0.957782048693181,0.694139745091404,448.1,25666.14872,2,heterofl,100.0,4,2670,40,8,False,False
6,0.9831547619047619,0.5739397425743227,0.949794164551188,0.69593543389392,454.5,29943.840032,2,heterofl,100.0,4,2670,40,8,False,False
7,0.9838095238095238,0.5938143230249087,0.9660839374992581,0.6897514708043553,462.5,34221.531344,2,heterofl,100.0,4,2670,40,8,False,False
8,0.9851190476190477,0.5912723658759484,0.9566999871577874,0.6556404218222978,461.8,38499.222656,2,heterofl,100.0,4,2670,40,8,False,False
9,0.9845238095238096,0.5920602480490567,0.9552882478564675,0.6917237640285295,462.8,42776.913968,2,heterofl,100.0,4,2670,40,8,False,False
10,0.9833333333333334,0.5818422701180569,0.9567992546801752,0.6846590180219039,461.8,47054.60528,2,heterofl,100.0,4,2670,40,8,False,False
11,0.9836904761904761,0.5895931165936737,0.9471531362373774,0.6830040041631871,462.0,51332.296592,2,heterofl,100.0,4,2670,40,8,False,False
12,0.9832738095238096,0.5929168386791627,0.9600834455435927,0.6661063631498654,463.0,55609.987904,2,heterofl,100.0,4,2670,40,8,False,False
13,0.985654761904762,0.6044144278840355,0.9555059942789949,0.6803877152023113,462.8,59887.679216,2,heterofl,100.0,4,2670,40,8,False,False
14,0.9816071428571429,0.5806189619801174,0.9673448737012037,0.6768498119599776,462.1,64165.370528,2,heterofl,100.0,4,2670,40,8,False,False
15,0.983452380952381,0.6097405998122584,0.957381053514918,0.7175259186655194,462.1,68443.06184,2,heterofl,100.0,4,2670,40,8,False,False
16,0.9832142857142857,0.6094984889882274,0.9654399882337728,0.6927539504864905,462.0,72720.753152,2,heterofl,100.0,4,2670,40,8,False,False
17,0.9839285714285715,0.6055650059880031,0.951332275573371,0.6805077493378291,463.7,76998.444464,2,heterofl,100.0,4,2670,40,8,False,False
18,0.9847619047619047,0.6277677275077082,0.9552451454723736,0.6871053205192521,462.2,81276.135776,2,heterofl,100.0,4,2670,40,8,False,False
19,0.9838690476190476,0.5927950776793423,0.9526121393876243,0.6912559336912657,463.6,85553.827088,2,heterofl,100.0,4,2670,40,8,False,False
20,0.9828571428571429,0.5772068653439799,0.967390055896062,0.6803353161946168,463.1,89831.5184,2,heterofl,100.0,4,2670,40,8,False,False
21,0.9832738095238096,0.6098919960945528,0.9491754120766498,0.6920612271822317,463.4,94109.209712,2,heterofl,100.0,4,2670,40,8,False,False
22,0.9850000000000001,0.6459481483959401,0.963519912988801,0.7137294427660024,462.3,98386.901024,2,heterofl,100.0,4,2670,40,8,False,False
23,0.9838095238095238,0.6314987747498663,0.9646737928180448,0.7095064632090913,464.0,102664.592336,2,heterofl,100.0,4,2670,40,8,False,False
24,0.9844642857142858,0.6422055157560028,0.9542762052187835,0.6996477245220065,463.5,106942.283648,2,heterofl,100.0,4,2670,40,8,False,False
25,0.9835714285714285,0.6425894710828856,0.9574553946650788,0.7031695008530792,463.2,111219.97496,2,heterofl,100.0,4,2670,40,8,False,False
26,0.9821428571428571,0.5846548103657137,0.9575931738072051,0.6604768601098079,462.8,115497.666272,2,heterofl,100.0,4,2670,40,8,False,False
27,0.9838095238095238,0.6504024779364286,0.9523477513855807,0.7224941908071087,462.7,119775.357584,2,heterofl,100.0,4,2670,40,8,False,False
28,0.9848214285714286,0.6127875335407929,0.9628285842268705,0.7100735394198843,464.9,124053.048896,2,heterofl,100.0,4,2670,40,8,False,False
29,0.98375,0.6363252087921565,0.9502731368770658,0.7223645376207943,462.3,128330.740208,2,heterofl,100.0,4,2670,40,8,False,False
30,0.9836309523809523,0.6485551470204169,0.9675183262069609,0.7185507447807277,463.1,132608.43152,2,heterofl,100.0,4,2670,40,8,False,False
31,0.9827380952380952,0.5823256615623064,0.9585494052242642,0.6901752317271185,462.5,136886.122832,2,heterofl,100.0,4,2670,40,8,False,False
32,0.9810119047619047,0.6042177732312606,0.9545789138795233,0.676727710235391,463.4,141163.814144,2,heterofl,100.0,4,2670,40,8,False,False
33,0.9832738095238096,0.5826842180564903,0.9671617293739725,0.6693937954492243,462.1,145441.505456,2,heterofl,100.0,4,2670,40,8,False,False
34,0.9829761904761904,0.5819876391400596,0.9465740149180957,0.6599876231235706,462.8,149719.196768,2,heterofl,100.0,4,2670,40,8,False,False
35,0.9817857142857143,0.5990628210270201,0.9561447508430709,0.6718015251450429,462.8,153996.88808,2,heterofl,100.0,4,2670,40,8,False,False
36,0.9817857142857143,0.5754954129832315,0.9484237094604258,0.6795272381588304,463.1,158274.579392,2,heterofl,100.0,4,2670,40,8,False,False
37,0.982202380952381,0.6062870524861429,0.9394833343360968,0.6968691788114605,461.7,162552.270704,2,heterofl,100.0,4,2670,40,8,False,False
38,0.9830952380952381,0.6437372074094191,0.9532248978784585,0.7081092916184317,463.3,166829.962016,2,heterofl,100.0,4,2670,40,8,False,False
39,0.9838095238095239,0.6362967761462062,0.9618878006988454,0.7205023036454408,462.0,171107.653328,2,heterofl,100.0,4,2670,40,8,False,False
