round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.88625,0.11518495050819007,0.6911742697135117,0.2668346979970908,840.0,0.0,2,fedmd,0.1,4,2670,40,8,False,False
1,0.8907142857142858,0.12029635606492468,0.6804829104962533,0.26048449158225406,823.5,0.0,2,fedmd,0.1,4,2670,40,8,False,False
2,0.8966071428571428,0.1453809671032637,0.7013491826137324,0.2681357606676404,822.5,0.0,2,fedmd,0.1,4,2670,40,8,False,False
3,0.8938095238095238,0.16481092780818637,0.6977288474955539,0.2917075969323817,827.9,0.0,2,fedmd,0.1,4,2670,40,8,False,False
4,0.8921428571428572,0.15215971655326696,0.6797358774684302,0.2553723111867851,825.3,0.0,2,fedmd,0.1,4,2670,40,8,False,False
5,0.8934523809523809,0.14036437903739818,0.6781296858017252,0.2500058816472138,825.1,0.0,2,fedmd,0.1,4,2670,40,8,False,False
6,0.8944642857142857,0.155561256643894,0.6531897284260092,0.24779400535123056,826.3,0.0,2,fedmd,0.1,4,2670,40,8,False,False
7,0.8947619047619048,0.1592954581918566,0.6722719063026745,0.2535577969821594,824.0,0.0,2,fedmd,0.1,4,2670,40,8,False,False
8,0.8973809523809524,0.16836881477637233,0.6661313434575795,0.2503874365334918,824.2,0.0,2,fedmd,0.1,4,2670,40,8,False,False
9,0.8895833333333334,0.15111182167294446,0.6856270356844927,0.24903498730311685,823.0,0.0,2,fedmd,0.1,4,2670,40,8,False,False
10,0.8954166666666667,0.1535879355811896,0.6696093047504985,0.2472468819994326,826.7,0.0,2,fedmd,0.1,4,2670,40,8,False,False
11,0.8912500000000001,0.15062542054993228,0.6650025692213426,0.23965324524989728,824.9,0.0,2,fedmd,0.1,4,2670,40,8,False,False
12,0.888095238095238,0.15150913430354146,0.6363946675946759,0.2291834621449308,824.7,0.0,2,fedmd,0.1,4,2670,40,8,False,False
13,0.8897619047619048,0.14684155836560786,0.6492284263759805,0.23656238227500243,824.2,0.0,2,fedmd,0.1,4,2670,40,8,False,False
14,0.884107142857143,0.15045808769963992,0.6414194691121378,0.2332796997709778,820.6,0.0,2,fedmd,0.1,4,2670,40,8,False,False
15,0.8908928571428572,0.15533973596407796,0.6459827061167479,0.24700793584293163,848.4,0.0,2,fedmd,0.1,4,2670,40,8,False,False
16,0.8890476190476191,0.14688209815076836,0.6503097905254205,0.23528351415771426,862.2,0.0,2,fedmd,0.1,4,2670,40,8,False,False
17,0.8843452380952381,0.13475193727891202,0.6134160156183983,0.22750369667125947,846.5,0.0,2,fedmd,0.1,4,2670,40,8,False,False
18,0.8879166666666667,0.1469634484431918,0.6523262673366265,0.23646588869534135,849.7,0.0,2,fedmd,0.1,4,2670,40,8,False,False
