round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch,distill_temp
0,0.9146428571428571,0.049826496957667804,0.7154129156220765,0.20657013541976865,407.6,0.0896,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
1,0.9156547619047619,0.05963004523537614,0.7003235038825713,0.23418728258623472,402.1,0.1792,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
2,0.9151190476190477,0.05095062445104351,0.7171209304902846,0.2571014879403171,406.0,0.2688,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
3,0.9123809523809524,0.04942326731020492,0.7120783032878184,0.23582331077971946,521.7,0.3584,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
4,0.9141666666666667,0.06876160358440885,0.6859892247902795,0.23255652022974588,659.7,0.448,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
5,0.913452380952381,0.0732957469008746,0.706984188026258,0.2526367112787811,676.6,0.5376,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
6,0.9076190476190477,0.07013294796234525,0.6966064043860272,0.21456588468209836,650.8,0.6272,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
7,0.914047619047619,0.08144938865376597,0.6722095913313559,0.211326780347681,635.2,0.7168,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
8,0.9123214285714285,0.0890823701380487,0.7217897800211909,0.23019350998352334,604.7,0.8064,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
9,0.910595238095238,0.08348248650507546,0.7182904157052965,0.22700184328503006,609.6,0.896,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
10,0.9045833333333333,0.08372645451908924,0.7175605531320824,0.2233883118021009,611.0,0.9856,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
11,0.9114880952380953,0.09972369879134245,0.7137941088225515,0.2318918045222637,600.0,1.0752,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
12,0.9119642857142858,0.10579906302780478,0.7121416197099747,0.24479143584249335,604.8,1.1648,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
13,0.910595238095238,0.10144366628028514,0.7080389117634639,0.23885229595098142,610.7,1.2544,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
14,0.91125,0.11076183773037884,0.7065909895524245,0.23392961956155917,425.3,1.344,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
15,0.9041071428571429,0.1045982943346716,0.7126338200078393,0.22268400745900052,423.5,1.4336,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
16,0.905952380952381,0.11651940460850933,0.7029352857843567,0.20966805638012206,394.7,1.5232,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
17,0.901547619047619,0.11504840671565733,0.7100117924437777,0.22429758717568898,391.5,1.6128,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
18,0.9095833333333332,0.11980699537691039,0.7083358967890383,0.21864849502812211,394.5,1.7024,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
19,0.9063690476190476,0.12588527064315258,0.7074431605117748,0.23536406354476747,390.4,1.792,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
20,0.9113095238095238,0.11408224173301136,0.7099752049820699,0.23186533644873697,385.5,1.8816,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
21,0.9024404761904762,0.11881189455885612,0.7135494858933858,0.22118500302264232,385.9,1.9712,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
22,0.9085714285714286,0.1225135668754293,0.7060950159692233,0.2245986713730028,382.5,2.0608,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
23,0.9057738095238096,0.1158352375179745,0.6986835633382357,0.22300005032096043,382.9,2.1504,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
24,0.9042857142857144,0.12742718098385536,0.6869141856233756,0.22021986051363285,383.1,2.24,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
25,0.8975,0.12664191222357732,0.7120258989342692,0.230790292041139,383.3,2.3296,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
26,0.9076190476190475,0.10663594229428758,0.6952694845152432,0.20430348058776016,384.8,2.4192,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
27,0.9064285714285715,0.12894484650918553,0.7118806610569897,0.22478239352572865,386.5,2.5088,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
28,0.9087500000000001,0.11918489039930277,0.7117724790813525,0.2112188930958435,388.2,2.5984,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
29,0.9092261904761905,0.1368969748850711,0.700985884687822,0.24878673121400752,388.6,2.688,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
30,0.9082738095238094,0.13733766855523377,0.7238543192391007,0.23256704436375816,386.8,2.7776,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
31,0.9108333333333334,0.13019704560322518,0.7152169825538008,0.22792919288047758,385.0,2.8672,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
32,0.9070238095238096,0.12968769489443083,0.6991837536650944,0.2421092162871556,386.5,2.9568,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
33,0.9082142857142856,0.12378280870037295,0.7108332781799038,0.250478637365816,386.9,3.0464,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
34,0.8995833333333333,0.13071274246784687,0.6907048578244646,0.21640063363447182,387.1,3.136,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
35,0.9131547619047619,0.12343847339042754,0.7065446138997276,0.25851557294911814,386.9,3.2256,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
36,0.9075,0.12045963407317359,0.6992548113561526,0.22028944177177695,386.9,3.3152,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
37,0.9075595238095238,0.11113316758275635,0.7129124606380781,0.22729273730347216,383.2,3.4048,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
38,0.905952380952381,0.1240919108902423,0.6993783568025702,0.24071011315747828,384.8,3.4944,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
39,0.9085714285714285,0.12265822144572257,0.7052925276954591,0.22978803917542412,382.9,3.584,4,fedmd_loot,1:3,100.0,4,2670,40,8,2.0
