round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch,distill_temp
0,0.9380952380952381,0.1222010743043513,0.8041586983997805,0.3115448100110204,547.8,0.0896,4,fedmd,3:1,100.0,4,2670,40,8,2.0
1,0.9437500000000001,0.15354242020418696,0.82214488918865,0.37203144088232093,553.0,0.1792,4,fedmd,3:1,100.0,4,2670,40,8,2.0
2,0.9399404761904762,0.18111910024759498,0.806470212014013,0.3681584415454104,546.6,0.2688,4,fedmd,3:1,100.0,4,2670,40,8,2.0
3,0.9432142857142857,0.20472392095836509,0.8133082515907623,0.41536375810548104,548.4,0.3584,4,fedmd,3:1,100.0,4,2670,40,8,2.0
4,0.93875,0.23249375625419047,0.8058616142544284,0.3917176168758014,551.6,0.448,4,fedmd,3:1,100.0,4,2670,40,8,2.0
5,0.9372023809523808,0.2345803907445758,0.7800979679056708,0.38085618138270055,547.6,0.5376,4,fedmd,3:1,100.0,4,2670,40,8,2.0
6,0.94,0.2650739955775738,0.7956147085950435,0.3889372494288672,540.1,0.6272,4,fedmd,3:1,100.0,4,2670,40,8,2.0
7,0.9395238095238095,0.25081832032149876,0.8031541584689136,0.383771145877461,539.4,0.7168,4,fedmd,3:1,100.0,4,2670,40,8,2.0
8,0.9368452380952381,0.2592432011665713,0.8049627572205607,0.37780756820669337,538.3,0.8064,4,fedmd,3:1,100.0,4,2670,40,8,2.0
9,0.9366071428571429,0.2665864677542435,0.8104731896714492,0.39097974760774834,537.9,0.896,4,fedmd,3:1,100.0,4,2670,40,8,2.0
10,0.9307142857142857,0.19765502285378672,0.7698158675484235,0.32453927388247905,539.6,0.9856,4,fedmd,3:1,100.0,4,2670,40,8,2.0
11,0.925952380952381,0.19962425868961592,0.7596196801809084,0.29878848715102113,538.3,1.0752,4,fedmd,3:1,100.0,4,2670,40,8,2.0
12,0.9291666666666667,0.20208461161883445,0.781638280831531,0.314836244700438,539.5,1.1648,4,fedmd,3:1,100.0,4,2670,40,8,2.0
13,0.9335714285714285,0.23359504590406055,0.8096770828624447,0.34172436181705157,538.8,1.2544,4,fedmd,3:1,100.0,4,2670,40,8,2.0
14,0.9334523809523809,0.2447427194384404,0.7899066238906839,0.34326749607699625,538.7,1.344,4,fedmd,3:1,100.0,4,2670,40,8,2.0
15,0.9315476190476191,0.23735762095697144,0.7931797096103045,0.3542239023909205,538.7,1.4336,4,fedmd,3:1,100.0,4,2670,40,8,2.0
16,0.9194642857142857,0.2119126885210319,0.7621897300522823,0.3014749705188376,541.2,1.5232,4,fedmd,3:1,100.0,4,2670,40,8,2.0
17,0.9305357142857142,0.24053954293565388,0.7769823197123729,0.3228311307183779,539.2,1.6128,4,fedmd,3:1,100.0,4,2670,40,8,2.0
18,0.927797619047619,0.22662559157956355,0.7888877586038737,0.33369979512461995,538.6,1.7024,4,fedmd,3:1,100.0,4,2670,40,8,2.0
19,0.922797619047619,0.21270626477296403,0.7691931194932164,0.29866167871477445,542.1,1.792,4,fedmd,3:1,100.0,4,2670,40,8,2.0
20,0.9238690476190475,0.20763259443406898,0.7480260746232454,0.28102825899534156,543.0,1.8816,4,fedmd,3:1,100.0,4,2670,40,8,2.0
21,0.9217261904761904,0.19865993259494774,0.7402010321718955,0.27411169531557733,542.0,1.9712,4,fedmd,3:1,100.0,4,2670,40,8,2.0
22,0.9188095238095237,0.20610065086987078,0.7643646560220516,0.28912862979627524,539.8,2.0608,4,fedmd,3:1,100.0,4,2670,40,8,2.0
23,0.918452380952381,0.20670816316097143,0.7518149338491718,0.2973321136954881,543.0,2.1504,4,fedmd,3:1,100.0,4,2670,40,8,2.0
24,0.9141666666666667,0.17319375645413432,0.7302546559347707,0.257185679978337,543.1,2.24,4,fedmd,3:1,100.0,4,2670,40,8,2.0
25,0.90875,0.1328613452402554,0.726147863694127,0.2266013389485985,542.5,2.3296,4,fedmd,3:1,100.0,4,2670,40,8,2.0
26,0.9092261904761905,0.1288246147646454,0.7403232276626348,0.2373121704523825,543.9,2.4192,4,fedmd,3:1,100.0,4,2670,40,8,2.0
27,0.9073809523809524,0.15066260265952808,0.71658048431793,0.214229313415688,545.1,2.5088,4,fedmd,3:1,100.0,4,2670,40,8,2.0
28,0.9097023809523809,0.14792170763537937,0.7207789705759995,0.21231285202850558,542.7,2.5984,4,fedmd,3:1,100.0,4,2670,40,8,2.0
29,0.9104761904761904,0.1356585688949687,0.7186286766418065,0.21137559486290225,544.6,2.688,4,fedmd,3:1,100.0,4,2670,40,8,2.0
30,0.9091071428571429,0.13588444818802103,0.7311557237027311,0.22816688804656318,544.3,2.7776,4,fedmd,3:1,100.0,4,2670,40,8,2.0
31,0.9111309523809524,0.13808756468731778,0.737019775676785,0.2121276260141231,543.8,2.8672,4,fedmd,3:1,100.0,4,2670,40,8,2.0
32,0.9092261904761905,0.16125337079420377,0.7437202377667893,0.23349262922227987,544.1,2.9568,4,fedmd,3:1,100.0,4,2670,40,8,2.0
33,0.9110119047619047,0.14136842256806945,0.7436817212405131,0.23179435817171268,543.1,3.0464,4,fedmd,3:1,100.0,4,2670,40,8,2.0
34,0.909702380952381,0.14553288859368277,0.749200525818637,0.25961939622182356,543.2,3.136,4,fedmd,3:1,100.0,4,2670,40,8,2.0
35,0.9107142857142858,0.1386534777851907,0.7437661620875622,0.22151723610098614,542.5,3.2256,4,fedmd,3:1,100.0,4,2670,40,8,2.0
36,0.9111309523809524,0.12946882162763187,0.7305625879416191,0.2289880036068606,543.9,3.3152,4,fedmd,3:1,100.0,4,2670,40,8,2.0
37,0.9086309523809524,0.1330798359159948,0.732916405389813,0.24171533757191355,543.2,3.4048,4,fedmd,3:1,100.0,4,2670,40,8,2.0
38,0.910952380952381,0.17259955536629085,0.728350226936136,0.25934679884156114,542.5,3.4944,4,fedmd,3:1,100.0,4,2670,40,8,2.0
