round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch,distill_temp
0,0.9185119047619048,0.05697608796631003,0.7248941590375387,0.22689414604112956,394.9,0.0896,4,fedmd,1:3,100.0,4,2670,40,8,2.0
1,0.9197023809523809,0.06271866293885084,0.7354340807477827,0.23249396893678437,393.1,0.1792,4,fedmd,1:3,100.0,4,2670,40,8,2.0
2,0.9194642857142857,0.07814298777103862,0.7301060333909195,0.2545307514695636,394.8,0.2688,4,fedmd,1:3,100.0,4,2670,40,8,2.0
3,0.9195833333333333,0.08580925825485292,0.7512730918950783,0.2449005470264068,394.2,0.3584,4,fedmd,1:3,100.0,4,2670,40,8,2.0
4,0.9217261904761904,0.09562923201407877,0.7515338713339259,0.2622781765484575,390.4,0.448,4,fedmd,1:3,100.0,4,2670,40,8,2.0
5,0.9216666666666666,0.10991987814012921,0.7742339502260663,0.2677299760182301,390.6,0.5376,4,fedmd,1:3,100.0,4,2670,40,8,2.0
6,0.9215476190476191,0.12075023789116968,0.7616894311013822,0.2511670663742716,387.2,0.6272,4,fedmd,1:3,100.0,4,2670,40,8,2.0
7,0.9201785714285714,0.11272225485710075,0.7516121755604036,0.26965130401616405,384.4,0.7168,4,fedmd,1:3,100.0,4,2670,40,8,2.0
8,0.917202380952381,0.12692989795570148,0.7472587875306704,0.2819751285530001,384.7,0.8064,4,fedmd,1:3,100.0,4,2670,40,8,2.0
9,0.9198809523809524,0.1349912835322492,0.7274220612462543,0.24570614194882717,384.9,0.896,4,fedmd,1:3,100.0,4,2670,40,8,2.0
10,0.9205952380952381,0.12530770196936236,0.7345896933716795,0.2618856122705621,385.1,0.9856,4,fedmd,1:3,100.0,4,2670,40,8,2.0
11,0.9176785714285713,0.13401779898728675,0.7222723996013827,0.26284557292666294,386.4,1.0752,4,fedmd,1:3,100.0,4,2670,40,8,2.0
12,0.9138095238095238,0.10874428418314225,0.7268069802010838,0.24597461846854501,387.7,1.1648,4,fedmd,1:3,100.0,4,2670,40,8,2.0
13,0.9107142857142857,0.11460794735370208,0.719869955578528,0.23808993221735675,1367.9,1.2544,4,fedmd,1:3,100.0,4,2670,40,8,2.0
14,0.9097619047619048,0.10661699469015275,0.7335922533983742,0.23917874019746976,1837.9,1.344,4,fedmd,1:3,100.0,4,2670,40,8,2.0
15,0.9137500000000001,0.11422632865499874,0.7185863291959574,0.23472285469343596,604.7,1.4336,4,fedmd,1:3,100.0,4,2670,40,8,2.0
16,0.911547619047619,0.12181861625607335,0.7174151039168446,0.2292167750930803,596.1,1.5232,4,fedmd,1:3,100.0,4,2670,40,8,2.0
17,0.9109523809523811,0.10597198933544082,0.7130581221389164,0.22175602695379287,625.3,1.6128,4,fedmd,1:3,100.0,4,2670,40,8,2.0
18,0.9147023809523809,0.11781642604869175,0.7148096646386826,0.22616475170364092,617.4,1.7024,4,fedmd,1:3,100.0,4,2670,40,8,2.0
19,0.9123809523809524,0.12920901988170017,0.7073806394352571,0.22231343789793193,627.9,1.792,4,fedmd,1:3,100.0,4,2670,40,8,2.0
20,0.9113095238095238,0.11877029602627617,0.7049404515865376,0.20994307633597534,625.5,1.8816,4,fedmd,1:3,100.0,4,2670,40,8,2.0
21,0.9141071428571428,0.106288665759181,0.7152439733148203,0.22993810086527114,628.6,1.9712,4,fedmd,1:3,100.0,4,2670,40,8,2.0
22,0.912202380952381,0.1337271608459386,0.7241008895275574,0.2576845713852014,602.1,2.0608,4,fedmd,1:3,100.0,4,2670,40,8,2.0
23,0.9111904761904762,0.13014715433173418,0.7049557364509591,0.24082866521994983,624.9,2.1504,4,fedmd,1:3,100.0,4,2670,40,8,2.0
24,0.9097619047619048,0.12972941482615993,0.7279652170324502,0.22641428485451454,609.8,2.24,4,fedmd,1:3,100.0,4,2670,40,8,2.0
25,0.9096428571428572,0.11925489083086131,0.7181104039559514,0.22967024697096697,619.8,2.3296,4,fedmd,1:3,100.0,4,2670,40,8,2.0
26,0.908452380952381,0.12730840431412632,0.7149350971525348,0.23994889755007764,605.0,2.4192,4,fedmd,1:3,100.0,4,2670,40,8,2.0
27,0.9108928571428572,0.13909126980863,0.7161738142898043,0.23166072860003106,609.6,2.5088,4,fedmd,1:3,100.0,4,2670,40,8,2.0
28,0.9090476190476191,0.14422433428061004,0.7141187733050054,0.22595629043418197,595.2,2.5984,4,fedmd,1:3,100.0,4,2670,40,8,2.0
29,0.9122619047619048,0.11858955070431906,0.7336442619058442,0.23168588479848856,596.5,2.688,4,fedmd,1:3,100.0,4,2670,40,8,2.0
30,0.910595238095238,0.1263742301871778,0.7037196936937614,0.2222558103637616,632.8,2.7776,4,fedmd,1:3,100.0,4,2670,40,8,2.0
31,0.9114285714285714,0.12364308643791391,0.7168520696247798,0.21913990209271822,623.2,2.8672,4,fedmd,1:3,100.0,4,2670,40,8,2.0
32,0.9105952380952381,0.1327152239710093,0.7204428203011903,0.23245778289971392,657.0,2.9568,4,fedmd,1:3,100.0,4,2670,40,8,2.0
33,0.911547619047619,0.13972803821544622,0.716984586460256,0.24189689082643517,615.2,3.0464,4,fedmd,1:3,100.0,4,2670,40,8,2.0
34,0.9100595238095238,0.13676159578457353,0.7175280469043928,0.21625582144779856,6480.3,3.136,4,fedmd,1:3,100.0,4,2670,40,8,2.0
35,0.9090476190476191,0.1311546879191739,0.7166917513497031,0.2344170214239415,7744.0,3.2256,4,fedmd,1:3,100.0,4,2670,40,8,2.0
36,0.9092857142857143,0.13330034961965737,0.7173900336563594,0.22274378775684656,400.2,3.3152,4,fedmd,1:3,100.0,4,2670,40,8,2.0
37,0.9082142857142856,0.1309357413109597,0.7239343105182904,0.22362338051176933,396.6,3.4048,4,fedmd,1:3,100.0,4,2670,40,8,2.0
38,0.907202380952381,0.13668598312929714,0.7138593240436788,0.21600013644539479,397.7,3.4944,4,fedmd,1:3,100.0,4,2670,40,8,2.0
39,0.9096428571428571,0.1288546435824351,0.7109509150843116,0.2137127277116535,398.7,3.584,4,fedmd,1:3,100.0,4,2670,40,8,2.0
