round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9115971747550695,0.05044049058559336,0.6709642354840327,0.17489475521265727,673.7,4280.592128,3,loot,uni,0.1,4,2670,40,8
1,0.9111414900888585,0.04381846635367762,0.6601489955470319,0.16566672240415703,669.4,8561.184256,3,loot,uni,0.1,4,2670,40,8
2,0.9087491455912509,0.05036880927291886,0.6440742050972161,0.16443089616057444,670.7,12841.776384,3,loot,uni,0.1,4,2670,40,8
3,0.9005468215994532,0.05130407899645551,0.5981207366142812,0.15534206529997488,676.9,17122.368512,3,loot,uni,0.1,4,2670,40,8
4,0.9028252449305081,0.05723234247827572,0.6114037363552637,0.1616914323586776,675.0,21402.96064,3,loot,uni,0.1,4,2670,40,8
5,0.8881294144452039,0.06254018790948161,0.6284802476000826,0.1617236587764726,678.0,25683.552768,3,loot,uni,0.1,4,2670,40,8
6,0.8843700159489634,0.08670538541924068,0.6266801942521223,0.1542993809719626,656.4,29964.144896,3,loot,uni,0.1,4,2670,40,8
7,0.8798131692868535,0.09594643806949696,0.6076907459102935,0.14531599841048284,648.3,34244.737024,3,loot,uni,0.1,4,2670,40,8
8,0.8841421736158578,0.09712490934996557,0.6698592435261339,0.1624989577841802,647.5,38525.329152000006,3,loot,uni,0.1,4,2670,40,8
9,0.8827751196172249,0.09949079200126433,0.6519108880461691,0.16013834076078287,649.7,42805.92128,3,loot,uni,0.1,4,2670,40,8
10,0.8933697881066303,0.10343113513295311,0.6777636255736181,0.16635865174025732,647.6,47086.513408,3,loot,uni,0.1,4,2670,40,8
11,0.8954203691045797,0.10139897212833783,0.6807752471799583,0.15645421464176157,647.9,51367.105536,3,loot,uni,0.1,4,2670,40,8
12,0.8995215311004785,0.09899204282512351,0.6731083711596593,0.15642329074068112,647.9,55647.69766400001,3,loot,uni,0.1,4,2670,40,8
13,0.8931419457735247,0.10485017913874546,0.6655710151132703,0.1581177275597828,648.3,59928.289792,3,loot,uni,0.1,4,2670,40,8
14,0.8991797676008202,0.10703810699979088,0.6686669811316914,0.15341414171850692,649.8,64208.88192,3,loot,uni,0.1,4,2670,40,8
15,0.8981544771018455,0.10631508055227723,0.6682657373583234,0.16672799474265582,646.8,68489.474048,3,loot,uni,0.1,4,2670,40,8
16,0.8981544771018455,0.09807081136297138,0.6716473647531525,0.16345666613588494,647.4,72770.06617600001,3,loot,uni,0.1,4,2670,40,8
17,0.8948507632718159,0.11209030966024665,0.6738605817771548,0.16702937500129736,647.4,77050.65830400001,3,loot,uni,0.1,4,2670,40,8
18,0.8957621326042379,0.10448955518340816,0.6699766308255725,0.159514274567885,647.2,81331.250432,3,loot,uni,0.1,4,2670,40,8
19,0.8939393939393939,0.09277220971580225,0.6539832489406141,0.14875143025952273,649.0,85611.84256,3,loot,uni,0.1,4,2670,40,8
20,0.8942811574390521,0.10619753537846643,0.6544231048995544,0.15190779069316615,648.0,89892.43468800001,3,loot,uni,0.1,4,2670,40,8
21,0.8856231487810435,0.11394991173737219,0.6453199884258839,0.15342875336084524,653.9,94173.026816,3,loot,uni,0.1,4,2670,40,8
22,0.8949646844383686,0.10260584682456665,0.6133593289160698,0.1473089616309946,649.2,98453.618944,3,loot,uni,0.1,4,2670,40,8
23,0.89211665527455,0.09679222040124294,0.6118506178923282,0.15284791732872674,652.0,102734.211072,3,loot,uni,0.1,4,2670,40,8
24,0.9012303485987696,0.10614225420766107,0.6487273376214217,0.18235107800115385,649.1,107014.80320000001,3,loot,uni,0.1,4,2670,40,8
25,0.8877876509455457,0.10483652471964011,0.647512047016477,0.1618651733139927,651.2,111295.39532800001,3,loot,uni,0.1,4,2670,40,8
26,0.8964456596035544,0.09624863993144527,0.645370884335528,0.1656231942789426,648.8,115575.987456,3,loot,uni,0.1,4,2670,40,8
27,0.8986101617680565,0.1220713799765515,0.6679110628032,0.1682344592813816,649.2,119856.579584,3,loot,uni,0.1,4,2670,40,8
28,0.9008885850991114,0.10270104311563268,0.6386246855075007,0.1680351270843343,649.2,124137.17171200001,3,loot,uni,0.1,4,2670,40,8
29,0.9011164274322169,0.08657587659031507,0.6596563646123573,0.1641797391443339,649.3,128417.76384,3,loot,uni,0.1,4,2670,40,8
30,0.8995215311004785,0.06886883035415473,0.6693225569858902,0.1564459612562306,647.1,132698.35596800002,3,loot,uni,0.1,4,2670,40,8
31,0.899749373433584,0.08654030186862147,0.6702068977704385,0.16264747992266346,649.4,136978.948096,3,loot,uni,0.1,4,2670,40,8
32,0.8924584187742083,0.0841934772468363,0.6463815007494589,0.16461382445692968,648.8,141259.540224,3,loot,uni,0.1,4,2670,40,8
33,0.9010025062656641,0.07053554355784131,0.6260946945236403,0.15558678627020564,650.7,145540.13235200002,3,loot,uni,0.1,4,2670,40,8
