round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9291071428571429,0.0754511237831103,0.7798998184062091,0.2831552685990003,417.1,0.086464,2,fedproto,100.0,4,400,5,8,False,False
1,0.9391071428571428,0.12669244656009646,0.8051532627368678,0.28281078798911824,417.9,0.172928,2,fedproto,100.0,4,400,5,8,False,False
2,0.9436607142857143,0.1199613979429035,0.849767157067031,0.3930337489227854,409.3,0.259392,2,fedproto,100.0,4,400,5,8,False,False
3,0.945625,0.16673455812143811,0.8558415421086354,0.3829890701119197,407.7,0.345856,2,fedproto,100.0,4,400,5,8,False,False
4,0.9455357142857144,0.1629487134117938,0.8667892625099859,0.37850444153835766,415.5,0.43232,2,fedproto,100.0,4,400,5,8,False,False
