epoch,hamming_acc,macro_f1,auroc,auprc,seconds,mode,alpha,clients,mm_ratio,vary_embed,which_client
1,0.9730952380952381,0.4097264837004631,0.928235646174805,0.5871300437604134,223.3,centralized,100.0,4,full,False,all
3,0.9697619047619047,0.5363989647944186,0.9372466799234161,0.6455668838447118,222.5,centralized,100.0,4,full,False,all
5,0.9738095238095238,0.4942991597165876,0.9459736929299717,0.5673668852494174,222.3,centralized,100.0,4,full,False,all
7,0.9752380952380952,0.5185866189461675,0.9409494468675991,0.5785246589963101,222.5,centralized,100.0,4,full,False,all
9,0.98,0.5560507688063873,0.892022079438416,0.5844443056785347,222.6,centralized,100.0,4,full,False,all
11,0.9761904761904762,0.50523252050148,0.9111958870669946,0.5673507452203396,222.3,centralized,100.0,4,full,False,all
13,0.9752380952380952,0.5259130470030986,0.9049816582811527,0.5551858827894919,222.5,centralized,100.0,4,full,False,all
15,0.9747619047619047,0.4830431018187787,0.9169347632443507,0.5493567339234373,222.8,centralized,100.0,4,full,False,all
17,0.9742857142857143,0.5309566520436085,0.8853548885297278,0.5878419435581129,222.7,centralized,100.0,4,full,False,all
19,0.9754761904761905,0.5082902807130093,0.921210072526009,0.5581111261343258,222.4,centralized,100.0,4,full,False,all
21,0.975,0.545054627063538,0.921773541863835,0.5758244556426,222.4,centralized,100.0,4,full,False,all
23,0.9778571428571429,0.5196541903045769,0.9188722804368263,0.5705547221414308,222.3,centralized,100.0,4,full,False,all
25,0.9764285714285714,0.5183231342966864,0.8910523144943484,0.5424222800951334,222.6,centralized,100.0,4,full,False,all
27,0.9742857142857143,0.5131149112443348,0.8687269319077374,0.6132283664485026,222.8,centralized,100.0,4,full,False,all
29,0.975,0.5237133012403721,0.883520715383099,0.608825124030723,222.7,centralized,100.0,4,full,False,all
31,0.9730952380952381,0.503001411289155,0.8724208848702929,0.5289475336584999,222.6,centralized,100.0,4,full,False,all
33,0.9738095238095238,0.5079520850476713,0.8721036957095271,0.5484447093130089,223.2,centralized,100.0,4,full,False,all
35,0.974047619047619,0.5121589573483931,0.9067594552741381,0.5450356521816565,222.6,centralized,100.0,4,full,False,all
37,0.9721428571428572,0.4927170147345916,0.8616647748570541,0.5295480532089288,222.5,centralized,100.0,4,full,False,all
39,0.9733333333333334,0.49815901794264245,0.8670745154264389,0.5285787313828719,222.6,centralized,100.0,4,full,False,all
41,0.9757142857142858,0.5147588593749394,0.8559927561312674,0.510117497196086,222.8,centralized,100.0,4,full,False,all
43,0.9752380952380952,0.5021912252549019,0.8776145955370411,0.5375927682469887,222.5,centralized,100.0,4,full,False,all
45,0.9726190476190476,0.5107444150870629,0.8638453440503054,0.5237333666401675,222.6,centralized,100.0,4,full,False,all
47,0.974047619047619,0.5032432744264753,0.8519553356793875,0.5252832113012499,222.6,centralized,100.0,4,full,False,all
49,0.9716666666666667,0.5010005881795162,0.8437934488431373,0.5252362640557935,223.1,centralized,100.0,4,full,False,all
51,0.9645238095238096,0.4683123552170345,0.8495553801698035,0.5054510041130349,222.7,centralized,100.0,4,full,False,all
53,0.9657142857142857,0.4582990422407109,0.8280879488373027,0.49259339876122876,222.7,centralized,100.0,4,full,False,all
55,0.9652380952380952,0.4295831247402124,0.8407169327018122,0.5001816285773492,248.7,centralized,100.0,4,full,False,all
57,0.9666666666666667,0.47236027166999556,0.851841117341154,0.5118384468254794,269.1,centralized,100.0,4,full,False,all
59,0.9673809523809523,0.44969137087480254,0.841607881034361,0.5074061157531312,242.8,centralized,100.0,4,full,False,all
61,0.9678571428571429,0.47946069192872437,0.8408708800355624,0.508130612704813,240.6,centralized,100.0,4,full,False,all
63,0.9678571428571429,0.46979342584238226,0.8397985397389937,0.5109724142700892,237.2,centralized,100.0,4,full,False,all
65,0.9688095238095238,0.4509363857307878,0.8429585786253312,0.5107018857445045,240.6,centralized,100.0,4,full,False,all
67,0.9697619047619047,0.4815754702842981,0.8424150249512383,0.5157920257768722,235.6,centralized,100.0,4,full,False,all
69,0.9685714285714285,0.47256886787097724,0.8365721656030182,0.5097286787516612,254.7,centralized,100.0,4,full,False,all
71,0.9688095238095238,0.4762351664369489,0.8301352984885977,0.5162788997382354,240.2,centralized,100.0,4,full,False,all
73,0.9688095238095238,0.46135611096746126,0.8440616083403051,0.5179279105719129,248.3,centralized,100.0,4,full,False,all
75,0.9695238095238096,0.47006757958587897,0.8380905231867529,0.51552154015609,222.3,centralized,100.0,4,full,False,all
77,0.9697619047619047,0.4709481563414822,0.8408161334211911,0.5178886797366407,222.8,centralized,100.0,4,full,False,all
79,0.9692857142857143,0.4805361933969899,0.8423031016636527,0.5151606961122507,222.2,centralized,100.0,4,full,False,all
