round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9142173615857826,0.0779203497766372,0.7541564296385388,0.2610006663669752,526.0,4280.592128,3,fedavg,1:3,0.1,4,2670,40,8
1,0.9329004329004329,0.13332999307001064,0.8096803585796043,0.3160311041678913,510.1,8561.184256,3,fedavg,1:3,0.1,4,2670,40,8
2,0.9303941672362726,0.1723647523575856,0.814711193853712,0.3032171341062381,513.8,12841.776384,3,fedavg,1:3,0.1,4,2670,40,8
3,0.9319890635680109,0.21043733908428872,0.8095813042118225,0.344235709218567,514.9,17122.368512,3,fedavg,1:3,0.1,4,2670,40,8
4,0.9269765322396901,0.24279591418923088,0.8133153082028167,0.3210266290732246,514.5,21402.96064,3,fedavg,1:3,0.1,4,2670,40,8
5,0.9236728184096605,0.24310356617409234,0.8287646788960874,0.3314225454776314,510.7,25683.552768,3,fedavg,1:3,0.1,4,2670,40,8
6,0.9237867395762133,0.2320746618988075,0.8147096847005565,0.3283468729777769,514.7,29964.144896,3,fedavg,1:3,0.1,4,2670,40,8
7,0.9250398724082934,0.20926509726212347,0.7683060992084458,0.3270804337965489,509.3,34244.737024,3,fedavg,1:3,0.1,4,2670,40,8
8,0.9208247892458419,0.1685892411564542,0.7393768484983825,0.2758131085980007,515.7,38525.329152000006,3,fedavg,1:3,0.1,4,2670,40,8
9,0.9305080884028253,0.22962969886756177,0.8029444931501516,0.3300577817769313,512.2,42805.92128,3,fedavg,1:3,0.1,4,2670,40,8
10,0.9142173615857826,0.18012085042221684,0.7170279632682544,0.25210414798699776,513.5,47086.513408,3,fedavg,1:3,0.1,4,2670,40,8
11,0.9081795397584871,0.08909635140060781,0.6561031614784251,0.18597054449859263,510.4,51367.105536,3,fedavg,1:3,0.1,4,2670,40,8
12,0.9079516974253816,0.12253216822203306,0.6597180131342615,0.18253513922018758,521.4,55647.69766400001,3,fedavg,1:3,0.1,4,2670,40,8
13,0.9062428799270904,0.09027216522975334,0.6906375151873057,0.19411348601392328,507.3,59928.289792,3,fedavg,1:3,0.1,4,2670,40,8
14,0.9183185235816814,0.14849792658492186,0.7213434599456366,0.2414224474367906,509.2,64208.88192,3,fedavg,1:3,0.1,4,2670,40,8
15,0.9207108680792891,0.13587406159141377,0.7374113169421657,0.22485460517447725,509.4,68489.474048,3,fedavg,1:3,0.1,4,2670,40,8
16,0.9153565732513101,0.12175550920586324,0.7335939943823152,0.23056128262901862,509.9,72770.06617600001,3,fedavg,1:3,0.1,4,2670,40,8
17,0.9147869674185464,0.10757252797622516,0.7452389038825931,0.24084049734715557,513.1,77050.65830400001,3,fedavg,1:3,0.1,4,2670,40,8
18,0.9068124857598542,0.07542495624960847,0.7051297389453299,0.20354266323630868,512.2,81331.250432,3,fedavg,1:3,0.1,4,2670,40,8
19,0.907382091592618,0.09970020722304403,0.7160148116215106,0.19871588590866304,510.7,85611.84256,3,fedavg,1:3,0.1,4,2670,40,8
20,0.9088630667578036,0.09961380928976606,0.7047459484378162,0.19740089204013317,510.6,89892.43468800001,3,fedavg,1:3,0.1,4,2670,40,8
21,0.9081795397584871,0.08501719028682768,0.6937335133789324,0.1982182192648136,510.8,94173.026816,3,fedavg,1:3,0.1,4,2670,40,8
22,0.9080656185919344,0.09436784068423129,0.681825891172389,0.1923021161960146,510.7,98453.618944,3,fedavg,1:3,0.1,4,2670,40,8
23,0.9074960127591707,0.08277457054840985,0.6824279692169221,0.1893431639290864,518.9,102734.211072,3,fedavg,1:3,0.1,4,2670,40,8
24,0.9066985645933014,0.10413816567685706,0.6768302490910194,0.1946273026760867,510.7,107014.80320000001,3,fedavg,1:3,0.1,4,2670,40,8
25,0.9053315105946685,0.08676323932319721,0.6860747631632002,0.19869498410174333,512.6,111295.39532800001,3,fedavg,1:3,0.1,4,2670,40,8
26,0.905103668261563,0.07438792709562217,0.7032784808022214,0.1912441322118639,512.5,115575.987456,3,fedavg,1:3,0.1,4,2670,40,8
27,0.9063568010936432,0.09800022478451709,0.6954060328966064,0.19741829888752113,509.9,119856.579584,3,fedavg,1:3,0.1,4,2670,40,8
28,0.9066985645933014,0.08519271431729201,0.6975944382823842,0.20643166333225452,511.5,124137.17171200001,3,fedavg,1:3,0.1,4,2670,40,8
29,0.9048758259284575,0.07627162739672881,0.6785163037435716,0.18188636617151183,514.3,128417.76384,3,fedavg,1:3,0.1,4,2670,40,8
30,0.9085213032581454,0.10996609231982772,0.6941207161089417,0.19409000393454318,510.2,132698.35596800002,3,fedavg,1:3,0.1,4,2670,40,8
31,0.9070403280929596,0.13044806680676585,0.7153296367578535,0.2085689832173898,510.7,136978.948096,3,fedavg,1:3,0.1,4,2670,40,8
32,0.9054454317612213,0.0993225347018638,0.6984915068660033,0.21007442673796997,510.9,141259.540224,3,fedavg,1:3,0.1,4,2670,40,8
33,0.904192298929141,0.06753542413682469,0.6828385348624496,0.19128405340684165,508.9,145540.13235200002,3,fedavg,1:3,0.1,4,2670,40,8
34,0.904192298929141,0.07511937316984656,0.687159598284272,0.1937008311790776,514.2,149820.72448,3,fedavg,1:3,0.1,4,2670,40,8
35,0.9038505354294828,0.06807381109932394,0.683080457881142,0.19458133243387757,509.0,154101.31660800002,3,fedavg,1:3,0.1,4,2670,40,8
36,0.9047619047619048,0.07156898414811821,0.6735723054405997,0.1741804110681218,528.0,158381.908736,3,fedavg,1:3,0.1,4,2670,40,8
37,0.9049897470950102,0.07320746264644107,0.6859237926629175,0.17587259643231698,11293.4,162662.500864,3,fedavg,1:3,0.1,4,2670,40,8
38,0.9052175894281157,0.0770762617979202,0.6577783892339253,0.18027339819229973,436.6,166943.09299200002,3,fedavg,1:3,0.1,4,2670,40,8
39,0.9052175894281157,0.05841766501731948,0.6841796272539848,0.1914766490412714,343.8,171223.68512,3,fedavg,1:3,0.1,4,2670,40,8
