round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9373809523809524,0.14958668155076765,0.8584319484890977,0.3472003063304162,618.6,0.0896,2,fedmd,1.0,4,2670,40,8,False,False
1,0.9438690476190476,0.17830731726714516,0.8708639799420507,0.4136485904218725,622.3,0.1792,2,fedmd,1.0,4,2670,40,8,False,False
2,0.9448214285714285,0.20753287626553285,0.8861248949970517,0.44194630867842205,1398.2,0.2688,2,fedmd,1.0,4,2670,40,8,False,False
3,0.942797619047619,0.21675476383627568,0.8808013889217842,0.4350754820062273,7482.1,0.3584,2,fedmd,1.0,4,2670,40,8,False,False
4,0.9470833333333334,0.25864485063348597,0.88076584536515,0.44010727215831996,620.4,0.448,2,fedmd,1.0,4,2670,40,8,False,False
5,0.9450595238095238,0.2598898968359993,0.872020739485047,0.4201315427502729,627.7,0.5376,2,fedmd,1.0,4,2670,40,8,False,False
6,0.9432738095238095,0.2636316235969478,0.8715323016758876,0.4329036415371713,626.8,0.6272,2,fedmd,1.0,4,2670,40,8,False,False
7,0.9407738095238096,0.25880520533419993,0.8582734701230061,0.4082322254927081,621.9,0.7168,2,fedmd,1.0,4,2670,40,8,False,False
8,0.9391666666666667,0.2701427607522644,0.8304294057542918,0.4080356715720993,609.2,0.8064,2,fedmd,1.0,4,2670,40,8,False,False
9,0.940952380952381,0.28712067024766014,0.8478918685962038,0.3957439683658381,608.5,0.896,2,fedmd,1.0,4,2670,40,8,False,False
10,0.9367857142857143,0.2689970582183645,0.8154570407111772,0.3798216969252046,607.6,0.9856,2,fedmd,1.0,4,2670,40,8,False,False
11,0.9302976190476191,0.2183508239420016,0.8074258012232418,0.34502594796329705,607.6,1.0752,2,fedmd,1.0,4,2670,40,8,False,False
12,0.9302380952380952,0.25801401617032244,0.8050450883473218,0.3655765545089531,615.0,1.1648,2,fedmd,1.0,4,2670,40,8,False,False
13,0.9242261904761905,0.22684739878440247,0.7864357480846413,0.3233244097976277,616.1,1.2544,2,fedmd,1.0,4,2670,40,8,False,False
14,0.9269047619047619,0.26292459374553584,0.8148939309107692,0.35532150344477964,613.3,1.344,2,fedmd,1.0,4,2670,40,8,False,False
15,0.9301190476190476,0.2654358749164477,0.8217378896359286,0.3797942147153585,621.5,1.4336,2,fedmd,1.0,4,2670,40,8,False,False
16,0.9274404761904762,0.24956584906957083,0.8069328837089855,0.34850030608455435,619.6,1.5232,2,fedmd,1.0,4,2670,40,8,False,False
17,0.9257142857142857,0.25081587096052893,0.7984631115812257,0.336536395708177,629.1,1.6128,2,fedmd,1.0,4,2670,40,8,False,False
18,0.9251190476190476,0.24792348504411815,0.802580296730114,0.3320557884051377,619.3,1.7024,2,fedmd,1.0,4,2670,40,8,False,False
19,0.9246428571428571,0.23469605020686723,0.7724789098644332,0.32212914239839974,622.8,1.792,2,fedmd,1.0,4,2670,40,8,False,False
20,0.924404761904762,0.22345322996910838,0.756324385699827,0.3079764860563023,626.4,1.8816,2,fedmd,1.0,4,2670,40,8,False,False
21,0.9232142857142858,0.2268636570838886,0.7516742121889615,0.30892298406979773,624.3,1.9712,2,fedmd,1.0,4,2670,40,8,False,False
22,0.9217261904761904,0.2082946596019044,0.7747337209203264,0.30465597080700935,629.5,2.0608,2,fedmd,1.0,4,2670,40,8,False,False
23,0.9207738095238095,0.2311533330879907,0.7722789709376581,0.30159245326936335,628.4,2.1504,2,fedmd,1.0,4,2670,40,8,False,False
24,0.9199404761904761,0.22494488040844465,0.7545852230316273,0.30542928648800616,630.1,2.24,2,fedmd,1.0,4,2670,40,8,False,False
25,0.9217857142857143,0.21518711124154188,0.786579402198589,0.31392290126574846,629.1,2.3296,2,fedmd,1.0,4,2670,40,8,False,False
26,0.9214285714285715,0.2522239231534982,0.7854229623406493,0.312072355317899,7070.8,2.4192,2,fedmd,1.0,4,2670,40,8,False,False
27,0.9227380952380952,0.21866540669211645,0.7845264570165602,0.30148082677455246,614.5,2.5088,2,fedmd,1.0,4,2670,40,8,False,False
28,0.9192857142857143,0.23253890168521532,0.7734327270335194,0.30881827069247947,610.5,2.5984,2,fedmd,1.0,4,2670,40,8,False,False
29,0.9208333333333333,0.21057221965408557,0.7739579319761845,0.29675736462207347,664.4,2.688,2,fedmd,1.0,4,2670,40,8,False,False
30,0.9186904761904762,0.22149479416165865,0.783285274458466,0.3070048936278018,930.3,2.7776,2,fedmd,1.0,4,2670,40,8,False,False
31,0.9202976190476191,0.20678298340484816,0.7982918173880789,0.3104427823154076,923.0,2.8672,2,fedmd,1.0,4,2670,40,8,False,False
32,0.9212500000000001,0.21376419618314046,0.7854677497776669,0.3194313150754729,965.7,2.9568,2,fedmd,1.0,4,2670,40,8,False,False
33,0.9211309523809523,0.24203670909795413,0.7942468447538764,0.3320340393621938,929.8,3.0464,2,fedmd,1.0,4,2670,40,8,False,False
34,0.9199404761904763,0.18335590836531726,0.7937889498756117,0.305723594547161,935.7,3.136,2,fedmd,1.0,4,2670,40,8,False,False
35,0.9220238095238096,0.21592708497899415,0.7574005436321806,0.2913769456035752,922.0,3.2256,2,fedmd,1.0,4,2670,40,8,False,False
36,0.9203571428571429,0.21746402880516436,0.7803695468938753,0.29484990767582303,1033.5,3.3152,2,fedmd,1.0,4,2670,40,8,False,False
37,0.919047619047619,0.2149392885617494,0.7775845938634506,0.3006597600590502,894.4,3.4048,2,fedmd,1.0,4,2670,40,8,False,False
38,0.9144047619047619,0.17675855763480092,0.7622838997038679,0.28224774717239476,880.9,3.4944,2,fedmd,1.0,4,2670,40,8,False,False
39,0.919345238095238,0.197465098593687,0.7802354242879235,0.2924721936132233,879.6,3.584,2,fedmd,1.0,4,2670,40,8,False,False
