round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9218500797448166,0.05710541097172813,0.7434424401524604,0.2693092199026284,4326.5,4280.592128,3,fedavg,1:3,100.0,4,2670,40,8
1,0.9450899977215766,0.18172745643253282,0.8231605721990666,0.37096113550539744,236.7,8561.184256,3,fedavg,1:3,100.0,4,2670,40,8
2,0.9550011392116655,0.3016559261354081,0.8576173222817817,0.42577009713214115,237.8,12841.776384,3,fedavg,1:3,100.0,4,2670,40,8
3,0.961038961038961,0.3719105488621159,0.8631407251499343,0.4615798529270552,240.8,17122.368512,3,fedavg,1:3,100.0,4,2670,40,8
4,0.969127363864206,0.42646457749770567,0.9002982336684217,0.48832149429868765,245.7,21402.96064,3,fedavg,1:3,100.0,4,2670,40,8
5,0.9694691273638643,0.4360113147900527,0.9114886448673755,0.48905612044319385,239.3,25683.552768,3,fedavg,1:3,100.0,4,2670,40,8
6,0.9699248120300752,0.47221642762647476,0.9137862429764353,0.49795108936606114,242.4,29964.144896,3,fedavg,1:3,100.0,4,2670,40,8
7,0.969583048530417,0.4714148050293209,0.923728505916999,0.5164076689723073,248.8,34244.737024,3,fedavg,1:3,100.0,4,2670,40,8
8,0.967760309865573,0.4864559382472306,0.9134976767592462,0.5292285431961604,249.6,38525.329152000006,3,fedavg,1:3,100.0,4,2670,40,8
9,0.9655958077010709,0.4887277057288079,0.9084851997440826,0.5347746142606533,249.5,42805.92128,3,fedavg,1:3,100.0,4,2670,40,8
10,0.9651401230348599,0.5102822272929742,0.9241413515968849,0.5487654635485837,241.1,47086.513408,3,fedavg,1:3,100.0,4,2670,40,8
11,0.9644565960355435,0.5138828632949474,0.9166714931450964,0.55086057150608,241.0,51367.105536,3,fedavg,1:3,100.0,4,2670,40,8
12,0.9647983595352017,0.5094143145035966,0.9280096248038381,0.5510784692381877,238.0,55647.69766400001,3,fedavg,1:3,100.0,4,2670,40,8
13,0.9669628616997038,0.522755230307646,0.9318155769183739,0.5794120132653795,238.4,59928.289792,3,fedavg,1:3,100.0,4,2670,40,8
14,0.9661654135338346,0.5216530720188207,0.9320876000166151,0.5751670987886578,235.5,64208.88192,3,fedavg,1:3,100.0,4,2670,40,8
15,0.9675324675324676,0.5198685291927033,0.9350455518846347,0.5688393467877861,239.4,68489.474048,3,fedavg,1:3,100.0,4,2670,40,8
16,0.967304625199362,0.5128144910812084,0.9264699654385744,0.5624269717593432,233.9,72770.06617600001,3,fedavg,1:3,100.0,4,2670,40,8
17,0.9675324675324676,0.5554287980373315,0.9268647215752782,0.5822920890824914,235.4,77050.65830400001,3,fedavg,1:3,100.0,4,2670,40,8
18,0.9665071770334929,0.5423767404081942,0.9245219699873076,0.5762176138692807,241.1,81331.250432,3,fedavg,1:3,100.0,4,2670,40,8
19,0.967760309865573,0.5452936214723195,0.9270348335294657,0.5764017055542867,234.3,85611.84256,3,fedavg,1:3,100.0,4,2670,40,8
20,0.9666210982000456,0.5290162994881854,0.9202512997837787,0.5767054097720633,233.8,89892.43468800001,3,fedavg,1:3,100.0,4,2670,40,8
21,0.9684438368648896,0.5413706924143481,0.9162124383936583,0.5733865330747082,235.8,94173.026816,3,fedavg,1:3,100.0,4,2670,40,8
22,0.9651401230348599,0.50875988880759,0.9172238050879055,0.5638004816858543,234.4,98453.618944,3,fedavg,1:3,100.0,4,2670,40,8
