round,hamming_acc,macro_f1,auroc,auprc,seconds,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.935952380952381,0.10875835128326823,0.8770112902908314,0.4207145742752854,864.8,1,fedprox,1.0,4,2670,40,8,False,False
1,0.9588095238095238,0.33999423679703605,0.9218508177387148,0.558005724985761,865.1,1,fedprox,1.0,4,2670,40,8,False,False
2,0.9695238095238096,0.4174064739467079,0.9522595688752433,0.6472901136040422,917.4,1,fedprox,1.0,4,2670,40,8,False,False
3,0.9752380952380952,0.47801243457507897,0.9743257073117417,0.6768133610705588,870.0,1,fedprox,1.0,4,2670,40,8,False,False
4,0.9802380952380952,0.58506687774872,0.9539801082983359,0.7067593599276645,926.1,1,fedprox,1.0,4,2670,40,8,False,False
5,0.9835714285714285,0.6228896322867506,0.9755021052315388,0.712593566271949,894.3,1,fedprox,1.0,4,2670,40,8,False,False
6,0.9828571428571429,0.6367197307227388,0.9765232259297172,0.7521555310135651,899.6,1,fedprox,1.0,4,2670,40,8,False,False
7,0.9788095238095238,0.6120291945320327,0.9812322186428516,0.7623569942855302,766.2,1,fedprox,1.0,4,2670,40,8,False,False
8,0.9811904761904762,0.6647746493532349,0.9638323756946428,0.7369749173975974,589.4,1,fedprox,1.0,4,2670,40,8,False,False
9,0.9821428571428571,0.6683592478300068,0.9743559215690425,0.740746930377274,590.4,1,fedprox,1.0,4,2670,40,8,False,False
10,0.9807142857142858,0.6630497445620999,0.972052632443176,0.7154712739850364,582.2,1,fedprox,1.0,4,2670,40,8,False,False
11,0.9823809523809524,0.6669643294479702,0.975173381204393,0.7216370541155303,597.8,1,fedprox,1.0,4,2670,40,8,False,False
12,0.9828571428571429,0.6675159227405051,0.9693230907172249,0.7185214578461262,590.2,1,fedprox,1.0,4,2670,40,8,False,False
13,0.9821428571428571,0.6714364323862951,0.9657146469766515,0.7289050269030947,589.4,1,fedprox,1.0,4,2670,40,8,False,False
14,0.9826190476190476,0.6667698004655104,0.9707272565896561,0.7344776117282208,615.9,1,fedprox,1.0,4,2670,40,8,False,False
15,0.9771428571428571,0.6490050681947166,0.9691326563609128,0.7159440079022742,835.5,1,fedprox,1.0,4,2670,40,8,False,False
16,0.9626190476190476,0.5483543638366922,0.8660453471935187,0.6152147924853119,607.4,1,fedprox,1.0,4,2670,40,8,False,False
17,0.9811904761904762,0.6619758811169218,0.9549165127097713,0.7293657898821035,583.8,1,fedprox,1.0,4,2670,40,8,False,False
18,0.9828571428571429,0.672600659001826,0.9697823777878681,0.7366446804073536,582.1,1,fedprox,1.0,4,2670,40,8,False,False
19,0.9840476190476191,0.6884107012038917,0.9717349244356833,0.7271910611993637,586.0,1,fedprox,1.0,4,2670,40,8,False,False
20,0.985,0.6848091057935192,0.9732434163817578,0.7249890990858336,583.2,1,fedprox,1.0,4,2670,40,8,False,False
21,0.9835714285714285,0.6844656743333376,0.9682000018994644,0.7024699262590057,586.4,1,fedprox,1.0,4,2670,40,8,False,False
22,0.9833333333333333,0.6778469373320755,0.9629681289905709,0.7168848477622464,585.8,1,fedprox,1.0,4,2670,40,8,False,False
23,0.9823809523809524,0.6814432125161566,0.9654443846731423,0.6872775957953318,587.5,1,fedprox,1.0,4,2670,40,8,False,False
24,0.9826190476190476,0.6761088333750004,0.9586503229232549,0.714496734877454,585.3,1,fedprox,1.0,4,2670,40,8,False,False
25,0.9826190476190476,0.7207103017362815,0.9617917618619287,0.7469141211178212,587.3,1,fedprox,1.0,4,2670,40,8,False,False
26,0.9828571428571429,0.6854055697719575,0.9652849125934022,0.7351131290582258,869.7,1,fedprox,1.0,4,2670,40,8,False,False
27,0.9830952380952381,0.6452944487173919,0.974310487466446,0.7456685961104319,873.0,1,fedprox,1.0,4,2670,40,8,False,False
28,0.9795238095238096,0.6115743112429739,0.9706683164853763,0.7429629719695818,874.1,1,fedprox,1.0,4,2670,40,8,False,False
29,0.9795238095238096,0.5952876771656228,0.9635802940704539,0.699000382286928,883.7,1,fedprox,1.0,4,2670,40,8,False,False
30,0.98,0.6421821472579935,0.9604882581618546,0.7064669641568101,729.4,1,fedprox,1.0,4,2670,40,8,False,False
31,0.9804761904761905,0.632316735588028,0.9718560851249971,0.7183823620328736,587.0,1,fedprox,1.0,4,2670,40,8,False,False
32,0.9766666666666667,0.6111692708553077,0.9376262366842916,0.706125770958931,588.5,1,fedprox,1.0,4,2670,40,8,False,False
33,0.9757142857142858,0.6138356325516902,0.939487610115704,0.7016490528776228,587.8,1,fedprox,1.0,4,2670,40,8,False,False
34,0.9814285714285714,0.6229492354591368,0.9611056540931432,0.7362016862560125,585.2,1,fedprox,1.0,4,2670,40,8,False,False
35,0.9814285714285714,0.6233735009631848,0.9692407466056826,0.7644402881511962,589.7,1,fedprox,1.0,4,2670,40,8,False,False
36,0.9807142857142858,0.6228074522886189,0.9615142083166496,0.7172023841399369,588.2,1,fedprox,1.0,4,2670,40,8,False,False
37,0.9826190476190476,0.6746136408307526,0.9680682850805429,0.7315274143792612,588.2,1,fedprox,1.0,4,2670,40,8,False,False
38,0.9816666666666667,0.6248978159069544,0.9680321772669305,0.73308614401549,591.6,1,fedprox,1.0,4,2670,40,8,False,False
39,0.9821428571428571,0.635927449858297,0.9681301488222187,0.6839460996526594,588.6,1,fedprox,1.0,4,2670,40,8,False,False
