round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch,distill_temp
0,0.9063690476190476,0.010932944606413994,0.7209952600685854,0.2531463962532753,584.9,0.0896,4,fedmd,3:1,0.1,4,2670,40,8,2.0
1,0.9086309523809524,0.023876731016359,0.6919307804900077,0.2298036167111302,596.3,0.1792,4,fedmd,3:1,0.1,4,2670,40,8,2.0
2,0.9078571428571428,0.04843967324404724,0.6845791047314932,0.2466477751905758,586.3,0.2688,4,fedmd,3:1,0.1,4,2670,40,8,2.0
3,0.9051785714285714,0.04407795959713627,0.6739435423223528,0.22667852695026303,584.0,0.3584,4,fedmd,3:1,0.1,4,2670,40,8,2.0
4,0.909702380952381,0.040443830866241995,0.6838386682183992,0.21742492266681235,577.6,0.448,4,fedmd,3:1,0.1,4,2670,40,8,2.0
5,0.9068452380952381,0.06935332687419885,0.7206799565044074,0.239766799895074,575.0,0.5376,4,fedmd,3:1,0.1,4,2670,40,8,2.0
6,0.9057738095238095,0.07745626938240091,0.722100628575099,0.24970589916430802,582.9,0.6272,4,fedmd,3:1,0.1,4,2670,40,8,2.0
7,0.9010714285714285,0.050936268779922224,0.6723770988472519,0.20243895248820035,583.0,0.7168,4,fedmd,3:1,0.1,4,2670,40,8,2.0
8,0.9019047619047619,0.04346948206374708,0.6833960805946186,0.20904163736284864,577.0,0.8064,4,fedmd,3:1,0.1,4,2670,40,8,2.0
9,0.8974404761904762,0.06438279939898871,0.6720421474109495,0.2046171487536722,585.2,0.896,4,fedmd,3:1,0.1,4,2670,40,8,2.0
10,0.8997619047619048,0.06323035799008844,0.6912660474584114,0.21091227190676576,583.9,0.9856,4,fedmd,3:1,0.1,4,2670,40,8,2.0
11,0.9005952380952381,0.07169998661136179,0.6818179646894165,0.21742881960048183,580.1,1.0752,4,fedmd,3:1,0.1,4,2670,40,8,2.0
12,0.9076190476190477,0.08997198704934012,0.7025797897220253,0.21493320385543713,580.3,1.1648,4,fedmd,3:1,0.1,4,2670,40,8,2.0
13,0.9001785714285714,0.06092851617905529,0.6936366662991713,0.20852997644796745,607.7,1.2544,4,fedmd,3:1,0.1,4,2670,40,8,2.0
14,0.9036904761904762,0.09528161038899625,0.6862655461938246,0.20045583060146444,598.7,1.344,4,fedmd,3:1,0.1,4,2670,40,8,2.0
15,0.9052976190476191,0.09310312204594187,0.7064331955756524,0.23201553706326772,585.7,1.4336,4,fedmd,3:1,0.1,4,2670,40,8,2.0
16,0.9039880952380952,0.08670908933719193,0.6707042212017003,0.2013028554364805,583.9,1.5232,4,fedmd,3:1,0.1,4,2670,40,8,2.0
17,0.9027976190476191,0.08965499396543217,0.6740672099977312,0.20466861316182572,591.4,1.6128,4,fedmd,3:1,0.1,4,2670,40,8,2.0
18,0.9048809523809525,0.09844543855155523,0.6784719628713005,0.21044928405687324,578.2,1.7024,4,fedmd,3:1,0.1,4,2670,40,8,2.0
19,0.9046428571428572,0.10942115476070169,0.678444623221345,0.1973797749399355,580.0,1.792,4,fedmd,3:1,0.1,4,2670,40,8,2.0
