round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9235714285714286,0.11088736743187005,0.8259590879099575,0.39178645980760146,510.9,,1,fedavg,0.1,4,2670,40,8,False,False
1,0.9233333333333333,0.10150926965086257,0.8354189921203334,0.34628570301752676,491.6,,1,fedavg,0.1,4,2670,40,8,False,False
2,0.9214285714285714,0.14238580252413524,0.8258585817890528,0.3295640178256851,491.4,,1,fedavg,0.1,4,2670,40,8,False,False
3,0.9197619047619048,0.15785764057408688,0.7905976320518019,0.2873022089386611,491.0,,1,fedavg,0.1,4,2670,40,8,False,False
4,0.925,0.18582454151786132,0.8034566596784268,0.2999041484470285,491.1,,1,fedavg,0.1,4,2670,40,8,False,False
5,0.9223809523809524,0.19858369929504904,0.7950319928324426,0.2954874778544594,492.0,,1,fedavg,0.1,4,2670,40,8,False,False
6,0.9028571428571428,0.1531865932458745,0.7266699930904349,0.25345700227776635,492.1,,1,fedavg,0.1,4,2670,40,8,False,False
7,0.910952380952381,0.16436016221084093,0.6809506727305367,0.2595554797227033,491.3,,1,fedavg,0.1,4,2670,40,8,False,False
8,0.9111904761904762,0.1759871231140925,0.6927689971540365,0.3131685708823915,490.2,,1,fedavg,0.1,4,2670,40,8,False,False
9,0.9123809523809524,0.17871954569390308,0.6948835992289093,0.25387881958533887,490.3,,1,fedavg,0.1,4,2670,40,8,False,False
10,0.9095238095238095,0.18778189533382356,0.7072196767781045,0.24418748383951155,491.3,,1,fedavg,0.1,4,2670,40,8,False,False
11,0.9095238095238095,0.17062860806680621,0.7166245527208454,0.2519978777407042,490.5,,1,fedavg,0.1,4,2670,40,8,False,False
12,0.9071428571428571,0.1912546707046466,0.6661791178998311,0.2354620871388554,491.4,,1,fedavg,0.1,4,2670,40,8,False,False
13,0.9071428571428571,0.1812776944926785,0.6713461969622634,0.24441775979526728,491.0,,1,fedavg,0.1,4,2670,40,8,False,False
14,0.9123809523809524,0.17277947617501288,0.7232398697450576,0.24128516040451053,492.2,,1,fedavg,0.1,4,2670,40,8,False,False
15,0.9126190476190477,0.17025864202530328,0.6885317355718628,0.22868033945403932,490.6,,1,fedavg,0.1,4,2670,40,8,False,False
16,0.8871428571428571,0.16919410517085615,0.6406100724710906,0.21504428684623816,491.8,,1,fedavg,0.1,4,2670,40,8,False,False
17,0.9114285714285715,0.17783283064580158,0.6916211696716371,0.23016708925151694,491.1,,1,fedavg,0.1,4,2670,40,8,False,False
18,0.9016666666666666,0.1818176979141254,0.6503691808844733,0.2220070506332072,490.6,,1,fedavg,0.1,4,2670,40,8,False,False
19,0.9071428571428571,0.1741441576039774,0.6963885624631126,0.24021840433249572,491.2,,1,fedavg,0.1,4,2670,40,8,False,False
20,0.9116666666666666,0.17993412915344137,0.6777910044714124,0.2371960753748329,492.2,,1,fedavg,0.1,4,2670,40,8,False,False
21,0.9111904761904762,0.1464746100400556,0.6525974041298486,0.22250797423682733,490.5,,1,fedavg,0.1,4,2670,40,8,False,False
22,0.910952380952381,0.16552069875331185,0.7076959736924991,0.22567845268240785,491.1,,1,fedavg,0.1,4,2670,40,8,False,False
23,0.8990476190476191,0.15806831209743832,0.6435446275575152,0.2236812144992918,490.4,,1,fedavg,0.1,4,2670,40,8,False,False
24,0.9071428571428571,0.1547497592619616,0.7212720048275651,0.23608345661012423,491.6,,1,fedavg,0.1,4,2670,40,8,False,False
25,0.9042857142857142,0.15680002388678138,0.6810513339954122,0.23260834041611256,491.0,,1,fedavg,0.1,4,2670,40,8,False,False
26,0.9069047619047619,0.19080962395630502,0.6913363725441882,0.24057035760885953,491.9,,1,fedavg,0.1,4,2670,40,8,False,False
27,0.9023809523809524,0.1531265376739361,0.6978058838352966,0.24601289879479518,493.0,,1,fedavg,0.1,4,2670,40,8,False,False
28,0.900952380952381,0.17914174373536584,0.7350500468451637,0.2616285629652936,492.3,,1,fedavg,0.1,4,2670,40,8,False,False
29,0.9073809523809524,0.16677635757760934,0.7190520430654771,0.23506517595217602,492.2,,1,fedavg,0.1,4,2670,40,8,False,False
30,0.9069047619047619,0.1883446950661639,0.7029763975229469,0.24829691846641075,491.0,,1,fedavg,0.1,4,2670,40,8,False,False
31,0.9019047619047619,0.1820617699835148,0.7184637656066823,0.23688626191521722,492.9,,1,fedavg,0.1,4,2670,40,8,False,False
32,0.9102380952380953,0.18679865881539215,0.704046314853239,0.2386596800173134,490.2,,1,fedavg,0.1,4,2670,40,8,False,False
33,0.9011904761904762,0.1636019745998676,0.7068675063088646,0.22918248250942583,490.0,,1,fedavg,0.1,4,2670,40,8,False,False
34,0.9061904761904762,0.21605028868403084,0.7028786341107222,0.23815322641047543,490.0,,1,fedavg,0.1,4,2670,40,8,False,False
35,0.9095238095238095,0.1846845520237868,0.7203535362590591,0.24730470368777843,489.9,,1,fedavg,0.1,4,2670,40,8,False,False
36,0.9092857142857143,0.18708338031900956,0.6969862162669749,0.23281497587667982,501.3,,1,fedavg,0.1,4,2670,40,8,False,False
37,0.9088095238095238,0.17220461904377987,0.7188342326781947,0.2516745363253809,489.7,,1,fedavg,0.1,4,2670,40,8,False,False
38,0.9047619047619048,0.16280877716261036,0.6969518043551931,0.251822500683601,489.9,,1,fedavg,0.1,4,2670,40,8,False,False
39,0.9073809523809524,0.1737288934545314,0.7423833127751346,0.24103462851954544,488.7,,1,fedavg,0.1,4,2670,40,8,False,False
