round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9255357142857142,0.05679410676183482,0.7778741094654763,0.30776482338015576,333.8,4277.69216,2,heterofl,100.0,4,400,3,8,False,False
1,0.9496428571428572,0.1641101987114233,0.849716403810748,0.3903447284534247,331.3,8555.383472,2,heterofl,100.0,4,400,3,8,False,False
2,0.9494642857142858,0.24118140398026977,0.8448887038230686,0.44338680846281153,341.6,12833.074784,2,heterofl,100.0,4,400,3,8,False,False
