round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9295967190704033,0.12874740237433427,0.7727025178996464,0.2759656162526836,1141.6,4280.592128,3,loot,uni,0.1,4,2670,40,8
1,0.9123946229209388,0.04976129269188395,0.7054082574738177,0.20867317785464265,1129.2,8561.184256,3,loot,uni,0.1,4,2670,40,8
2,0.9135338345864662,0.04310776942355889,0.6906368267856866,0.1878115588562735,965.8,12841.776384,3,loot,uni,0.1,4,2670,40,8
3,0.910002278423331,0.037540847680827195,0.6351668621320696,0.16014697880212,732.1,17122.368512,3,loot,uni,0.1,4,2670,40,8
4,0.8996354522670312,0.07202428964983497,0.6354201064904094,0.149741036383188,730.8,21402.96064,3,loot,uni,0.1,4,2670,40,8
5,0.9037366142629301,0.08578379654294453,0.6230607701932579,0.14761111170927085,731.0,25683.552768,3,loot,uni,0.1,4,2670,40,8
6,0.8810663021189337,0.10444475992943711,0.6194499702016774,0.14725535085975164,728.2,29964.144896,3,loot,uni,0.1,4,2670,40,8
7,0.88630667578036,0.11784826904183321,0.6184555350224648,0.15166277287697985,729.2,34244.737024,3,loot,uni,0.1,4,2670,40,8
8,0.8907496012759171,0.10608548807527521,0.6183638013159866,0.15259466198593055,729.8,38525.329152000006,3,loot,uni,0.1,4,2670,40,8
9,0.8906356801093643,0.1111073374382614,0.6097078477239349,0.1494402271682243,729.9,42805.92128,3,loot,uni,0.1,4,2670,40,8
10,0.8779904306220095,0.11226113705935066,0.6301593210917359,0.14539370036432703,730.8,47086.513408,3,loot,uni,0.1,4,2670,40,8
11,0.89792663476874,0.10838704803005196,0.6543043426879993,0.1587339332120868,731.8,51367.105536,3,loot,uni,0.1,4,2670,40,8
12,0.8961038961038961,0.10450554639187352,0.6270836423929198,0.15266976792001247,732.1,55647.69766400001,3,loot,uni,0.1,4,2670,40,8
13,0.8871041239462292,0.10887173031689776,0.6105042015506869,0.15122237396359367,729.8,59928.289792,3,loot,uni,0.1,4,2670,40,8
14,0.8904078377762589,0.11667225814090039,0.5982924891230503,0.14978357694157823,729.7,64208.88192,3,loot,uni,0.1,4,2670,40,8
15,0.8779904306220095,0.11760524260791753,0.5892720068689687,0.1425266794941024,728.4,68489.474048,3,loot,uni,0.1,4,2670,40,8
16,0.8898382319434951,0.1302234694085469,0.6329333455789051,0.1535788962773928,731.0,72770.06617600001,3,loot,uni,0.1,4,2670,40,8
17,0.8892686261107313,0.1347828594111127,0.6049017578049495,0.1494307253081859,733.0,77050.65830400001,3,loot,uni,0.1,4,2670,40,8
18,0.8954203691045797,0.12706619738967956,0.6048451308353447,0.15145298774446814,733.2,81331.250432,3,loot,uni,0.1,4,2670,40,8
19,0.8982683982683982,0.14457497944375766,0.6297185696211638,0.15431793577414715,732.6,85611.84256,3,loot,uni,0.1,4,2670,40,8
20,0.8954203691045797,0.12096535588851602,0.6536798424232533,0.16480942623120295,733.7,89892.43468800001,3,loot,uni,0.1,4,2670,40,8
21,0.8955342902711324,0.11855963372870278,0.6305590041806385,0.15623893444049478,731.7,94173.026816,3,loot,uni,0.1,4,2670,40,8
22,0.8962178172704488,0.13770913436162716,0.6405817254459231,0.16154320028817293,729.8,98453.618944,3,loot,uni,0.1,4,2670,40,8
23,0.8962178172704488,0.10064005560962963,0.6348624410908378,0.16072490259244693,730.3,102734.211072,3,loot,uni,0.1,4,2670,40,8
24,0.8978127136021873,0.11596489776261103,0.6534930500123236,0.16465859220697296,731.9,107014.80320000001,3,loot,uni,0.1,4,2670,40,8
25,0.9019138755980861,0.10915838251700209,0.6250872826173933,0.15767876422116478,733.2,111295.39532800001,3,loot,uni,0.1,4,2670,40,8
26,0.8984962406015038,0.13888038605767106,0.667470211915476,0.17963231715870417,731.5,115575.987456,3,loot,uni,0.1,4,2670,40,8
27,0.8983823194349511,0.11204673914469417,0.6431283237435865,0.1735107287535711,731.2,119856.579584,3,loot,uni,0.1,4,2670,40,8
28,0.8967874231032126,0.1282407129816583,0.6359177754931054,0.17112033892231418,730.4,124137.17171200001,3,loot,uni,0.1,4,2670,40,8
29,0.9021417179311916,0.09868124283431845,0.6563214581026596,0.1588271527302272,731.8,128417.76384,3,loot,uni,0.1,4,2670,40,8
30,0.9022556390977443,0.10709229548592293,0.6852202319280211,0.16922545987921497,731.4,132698.35596800002,3,loot,uni,0.1,4,2670,40,8
