round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch,distill_temp
0,0.8972023809523809,0.00782699443413729,0.6570625443733327,0.20674432928067382,766.0,0.0896,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
1,0.897202380952381,0.010491214790347737,0.6517758641948015,0.16004420165636535,881.5,0.1792,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
2,0.8961904761904762,0.019233978591674288,0.6948531829548528,0.1716939933562409,921.2,0.2688,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
3,0.8956547619047619,0.021381354778169187,0.6751099261710799,0.19851335326916572,932.8,0.3584,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
4,0.8955952380952381,0.030065400111594656,0.6561091264916259,0.20666461872085107,934.8,0.448,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
5,0.8939285714285714,0.028676986552718706,0.6616865979167355,0.1810641100323366,939.8,0.5376,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
6,0.9024404761904762,0.04047212198540419,0.6667077145686973,0.18566761625020484,903.5,0.6272,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
7,0.8985714285714286,0.061017584863309174,0.6233280822444465,0.18300531105522172,918.7,0.7168,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
8,0.8989880952380952,0.06403829488868341,0.6573831103766172,0.17943689327922496,877.4,0.8064,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
9,0.8986309523809524,0.06560803098388758,0.6577056138042029,0.19533291166040187,910.9,0.896,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
10,0.8948214285714285,0.07970221302702112,0.6680458981891662,0.18572084248810689,875.9,0.9856,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
11,0.8953571428571429,0.08457072081683964,0.6565244076616575,0.2072832221245677,699.4,1.0752,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
12,0.8988095238095238,0.0651586933741279,0.6815507784831618,0.19815591295230622,616.1,1.1648,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
13,0.8992261904761906,0.08735360457231632,0.7032866250815806,0.1990767521762787,631.9,1.2544,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
14,0.8988095238095238,0.09050405032602549,0.6844699277289679,0.19865521109740877,617.4,1.344,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
15,0.8992857142857144,0.09481675809187737,0.6885291394390083,0.20664509241831286,591.9,1.4336,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
16,0.8969642857142857,0.11975653201480994,0.675165125411685,0.2130821915772274,594.8,1.5232,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
17,0.8966666666666667,0.0916484432782285,0.6832396870440467,0.20131548232859026,586.6,1.6128,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
18,0.9013690476190477,0.10149373557731574,0.6923787618477775,0.22552974938343437,598.8,1.7024,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
19,0.8974404761904762,0.10825564709492125,0.6996842738408375,0.2118573007743195,605.1,1.792,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
20,0.9008333333333334,0.08695776573878602,0.7040009016206169,0.20578099607131808,590.5,1.8816,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
21,0.8990476190476191,0.1057964752971522,0.6834506707356902,0.19929834046082245,585.5,1.9712,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
22,0.9013690476190477,0.09041498448268041,0.7083869729957177,0.22362109618457643,587.5,2.0608,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
23,0.8974404761904762,0.08465829372769779,0.6821820839205777,0.2191332284659439,586.2,2.1504,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
24,0.8992261904761905,0.08307771974426817,0.6860994156451469,0.21904116561436165,586.3,2.24,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
25,0.9011309523809524,0.08146642945982395,0.6850080024034257,0.1971839214916475,585.2,2.3296,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
26,0.9061309523809524,0.10069112845180607,0.6931975023696724,0.2226725689915382,585.5,2.4192,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
27,0.9056547619047619,0.0736047797892408,0.6799821184850241,0.19599076412481692,608.5,2.5088,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
28,0.9044642857142857,0.11355008543526145,0.6796080336361741,0.20643925454080198,598.1,2.5984,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
29,0.9042261904761905,0.10186386524051479,0.6940717144744675,0.2128327349156307,607.2,2.688,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
30,0.9072023809523809,0.08741021835320298,0.6946469277471627,0.19715392656894387,601.9,2.7776,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
31,0.9061309523809524,0.08919583829100525,0.6847364078933162,0.20822313369943507,587.1,2.8672,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
32,0.9058928571428572,0.09876441304500608,0.6890849700797284,0.21919247943723855,693.9,2.9568,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
33,0.9043452380952381,0.08994164367077528,0.6934242852979955,0.2010087011743537,775.8,3.0464,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
34,0.9005357142857143,0.09902129427006964,0.6723434877677137,0.1944423384342993,745.6,3.136,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
35,0.9048809523809525,0.11320035145404447,0.6808903991351096,0.19029898111636395,702.4,3.2256,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
36,0.9036904761904762,0.11615830221800427,0.6859683780134529,0.20423539696807844,687.7,3.3152,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
37,0.904702380952381,0.08299988835145566,0.6817534752914556,0.1931079756930836,682.5,3.4048,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
38,0.903452380952381,0.10230060404329733,0.6975078694832451,0.19392152437102617,684.3,3.4944,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
39,0.9048809523809525,0.09924959924632924,0.7135561683205658,0.20651824808833608,693.8,3.584,4,fedmd_loot,3:1,0.1,4,2670,40,8,2.0
