round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,mm_ratio,alpha,clients,train_subset,rounds,batch
0,0.9187742082478925,0.0553972212326327,0.7325519886591696,0.26584827480433204,547.2,4280.592128,3,loot,uni,100.0,4,2670,40,8
1,0.9311916154021417,0.11426855578902363,0.7620882370026625,0.3422251620548895,551.0,8561.184256,3,loot,uni,100.0,4,2670,40,8
2,0.9442925495557074,0.23930632297318363,0.7997578484212531,0.36816657856226725,550.4,12841.776384,3,loot,uni,100.0,4,2670,40,8
3,0.9478241057188426,0.3028565504762814,0.814386779455299,0.3810368382640946,7917.2,17122.368512,3,loot,uni,100.0,4,2670,40,8
4,0.9478241057188426,0.33563545532058264,0.8119158478615678,0.38135053245208345,11459.2,21402.96064,3,loot,uni,100.0,4,2670,40,8
5,0.9473684210526315,0.38313534041472014,0.8378445046281804,0.41208901877678955,813.0,25683.552768,3,loot,uni,100.0,4,2670,40,8
6,0.9423558897243107,0.40245712838345027,0.8491486334221267,0.40079276456816315,806.7,29964.144896,3,loot,uni,100.0,4,2670,40,8
7,0.9344953292321714,0.39904798673074177,0.8596813844702377,0.4104866942526443,809.9,34244.737024,3,loot,uni,100.0,4,2670,40,8
8,0.9196855775803144,0.3903853193231988,0.8306696701581021,0.4036485270239905,824.8,38525.329152000006,3,loot,uni,100.0,4,2670,40,8
9,0.9290271132376395,0.4081869114884716,0.8543941994191294,0.40981180333459777,820.8,42805.92128,3,loot,uni,100.0,4,2670,40,8
10,0.9264069264069265,0.4104303397190086,0.8554446305891392,0.40960311454393544,595.6,47086.513408,3,loot,uni,100.0,4,2670,40,8
11,0.9262930052403736,0.40159264731502137,0.8386038313516967,0.3989229693567612,553.7,51367.105536,3,loot,uni,100.0,4,2670,40,8
12,0.9168375484164958,0.3973415895995046,0.8400828013833339,0.39122198910413725,543.1,55647.69766400001,3,loot,uni,100.0,4,2670,40,8
13,0.9074960127591707,0.3866505143178722,0.8335329591191908,0.39407647762091147,543.2,59928.289792,3,loot,uni,100.0,4,2670,40,8
